YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.3850266	0.3187965	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.7046274	0.2418583	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.7832271	0.3390881	0.1296165	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8887271	0.6441817	0.4476389	0.5000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8605914	0.5231958	0.2592327	1.0000000	0.5000018	0.5469474	1.0000000	1.0000000	1.0000000	1.0000000
0.8605898	0.5231943	0.2592327	1.0000000	1.0000000	0.2734781	1.0000000	1.0000000	1.0000000	1.0000000
0.8605914	0.5231958	0.2592327	1.0000000	1.0000000	0.3704363	0.5000045	1.0000000	1.0000000	1.0000000
0.8605908	0.5231953	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	0.5000052	1.0000000	1.0000000
0.8605908	0.5231953	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	0.5000221	1.0000000
0.8605898	0.5231943	0.2592327	1.0000000	1.0000000	0.5469474	1.0000000	1.0000000	1.0000000	0.5000065
