YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.7597961	0.8022796	0.0759144	0.6973735	0.0000000	0.7274858	0.0087989	0.0985680	0.9029812
0.0000000	0.0000000	0.9660573	0.0112174	0.9143631	0.7629799	1.0274934	0.0023237	0.0532865	0.8392508
0.0000000	0.6250580	0.0000000	0.0475144	0.6525338	0.8972917	0.8474165	0.0090770	0.0829129	0.9534690
0.0000000	0.6644403	0.9951172	0.0282080	0.8380026	0.8136531	0.7618866	0.0000000	0.0344825	0.9165355
0.0000000	0.7540701	0.7494766	0.0569476	0.7717130	0.8065101	0.8704216	0.0389816	0.0000000	0.5275607
0.0000000	0.9442636	0.8702113	0.0569851	0.9587763	0.7362583	0.7003808	0.0040634	0.0245360	0.0000000
0.0371613	0.0000000	0.6500189	0.0612443	0.7004038	0.0000000	0.6330475	0.0082915	0.0672927	0.8098388
0.0558347	0.0000000	0.8485803	0.1069347	0.7641624	0.6798032	0.7339651	0.0157057	0.1049102	0.0000000
0.6644454	0.4986046	0.6677520	0.0506019	0.9272050	0.0002048	0.6990912	0.0292862	0.0000000	0.8928966
0.6222229	0.5333015	0.6928355	0.0612081	0.6904829	0.0000000	0.7798612	0.0444638	0.0459141	0.0000000
