YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0000000	0.1919440	0.3685495	0.3192773	0.3914725	0.7658544	0.8020249	0.4504471	0.7301710	0.7084268
0.4882539	0.0000000	0.3893475	0.4529253	0.4076553	0.7917259	0.6584290	0.2898726	0.7050057	0.5457344
0.4658685	0.0039901	0.0000000	0.1882919	0.3072445	0.6925209	0.7193257	0.3655408	0.7189646	0.6690512
0.6189690	0.1696720	0.6985149	0.0000000	0.3465520	0.7922162	0.6880285	0.3371094	0.6963606	0.7900776
0.4470060	0.1509071	0.4697178	0.2631363	0.0000000	0.6584536	0.6706056	0.3414786	0.6323520	0.5563332
0.6341012	0.1233476	0.1721031	0.4493591	0.7984462	0.0000000	0.6664427	0.2670043	0.7514774	0.6629593
0.3939815	0.6672759	0.2677672	0.3315468	0.3692791	0.5985350	0.0000000	0.4022330	0.5902870	0.6223806
0.6239159	0.1794224	0.3113950	0.5041750	0.3226955	0.7383339	0.7794935	0.0000000	0.7666543	0.6410403
0.4048147	0.2114601	0.2774078	0.3245669	0.4090111	0.6683922	0.7701502	0.8663401	0.0000000	0.6466028
0.5177087	0.2065348	0.2887595	0.3549479	0.3502161	0.7610237	0.7777120	0.3646090	0.6960074	0.0000000
