"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.5263961	0.5857540	0.7479049	0.6306355	0.7469912	0.1969460	0.1091935	1.0408930	1.0563810	1.0110889
50	0.5022026	0.5004002	0.7778730	0.5066978	0.6979395	0.1758283	0.0621809	0.2968191	0.9131737	0.9888380
100	0.5289382	0.4701485	0.8107450	0.5978756	0.7071566	0.1093846	0.0422065	0.2047205	0.8977292	1.0336996
150	0.7093632	0.4528661	0.7847316	0.6148354	0.7795496	0.0610870	0.0678236	0.1789667	0.9202255	1.0258853
200	0.9049405	0.4677475	0.7534283	0.4820645	0.7845145	0.0836563	0.0955680	0.2006108	0.9921039	1.0037902
250	0.9461924	0.4766522	0.7245347	0.4168929	0.6792115	0.1642056	0.0778095	0.1679187	0.9341741	0.9076464
300	0.7722704	0.4041231	0.7380735	0.5635778	0.5547589	0.1167165	0.0708398	0.2086182	0.8504487	1.0147868
350	0.7510101	0.4599547	0.7507422	0.6570434	0.6455759	0.0833018	0.0795097	0.1887798	0.9422194	0.9769095
400	0.7877451	0.5362263	0.7933391	0.6721436	0.7197174	0.1098232	0.0794045	0.1565227	0.9436763	0.9534641
450	0.6562888	0.5729175	0.7097725	0.6085082	0.7143122	0.1056583	0.0721895	0.1576400	0.9903961	1.1171546
500	0.5740048	0.5138930	0.7803551	0.6341354	0.6942020	0.1110073	0.0897188	0.1458188	0.9050930	1.0698504
550	0.5734577	0.5364238	0.7948433	0.6148182	0.7156390	0.1937129	0.2341973	0.9121248	0.9625327	1.0017439
600	0.4949126	0.5348427	0.7956772	0.6300636	0.6933611	0.2383492	0.1345735	1.0005189	0.9974966	0.9656255
650	0.5660229	0.5375588	0.7439152	0.5872078	0.7383309	0.2053909	0.1182449	0.9949404	0.9851555	0.9721304
700	0.6598022	0.5021565	0.7843990	0.5646749	0.7020122	0.2170324	0.1069941	0.9346023	0.9240933	0.9477743
750	0.5120528	0.5166163	0.7086351	0.5151013	0.6825492	0.1769021	0.0940625	0.9765489	0.8780390	0.9231868
800	0.6199487	0.4404287	0.7679756	0.6150309	0.5759457	0.1687150	0.1299477	0.9751807	0.8652489	1.0263180
850	0.7919121	0.4058805	0.8431193	0.6861361	0.6013191	0.1545284	0.1076106	1.0841303	0.8904532	0.9904938
900	0.7607340	0.4663071	0.8538314	0.6777491	0.7706746	0.1404303	0.0797729	1.0211688	0.9501928	1.0133286
950	0.7171612	0.5196765	0.8172726	0.4731471	0.7919594	0.1270698	0.0546008	0.9825218	1.0002268	0.9668817
1000	0.7282260	0.5097031	0.8209048	0.5531318	0.7266078	0.0935637	0.0856473	0.9630696	0.9502302	1.0012284

0	0.5263961	0.5857540	0.7479049	0.6306355	0.7469912	0.1969460	0.1091935	1.0408930	1.0563810	1.0110889
50	0.4603064	0.9458325	0.6882687	0.6367762	0.5615572	0.3180663	0.1172442	0.9810610	1.0026086	0.3811452
100	0.1549551	0.9283739	0.7633669	0.5627085	0.7739575	0.3976960	0.0885421	1.0674035	1.1033533	0.2555527
150	0.1150847	0.9583752	0.6955971	0.5165218	0.6720628	0.4074501	0.0905757	1.0270451	0.9218965	0.2412293
200	0.1005808	0.9278864	0.7090531	0.5551493	0.7128601	0.4155076	0.1069484	0.9924434	0.8311866	0.2205315
250	0.0797460	1.0018935	0.8170919	0.5856327	0.6596799	0.4332029	0.1052836	1.0805447	1.0416952	0.2486411
300	0.0607791	1.0121388	0.8178598	0.6384725	0.7468065	0.4600229	0.0808441	1.0339690	1.0382269	0.2697776
350	0.0725057	1.0284240	0.7721034	0.6355747	0.6675908	0.4226276	0.1032604	0.9874106	1.0770666	0.2607915
400	0.0613352	1.0360609	0.8258992	0.6510752	0.7055943	0.4273706	0.0786520	0.9643005	0.9491878	0.2122891
450	0.0493964	0.9736533	0.7677038	0.6192327	0.6812170	0.3976145	0.1270588	0.9993447	0.9169838	0.2528955
500	0.0757080	1.0034338	0.7795680	0.5404437	0.6871183	0.3902738	0.1112948	1.0024670	0.9612614	0.2504032
