YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.3560127	0.0185983	0.0552450	0.5945982	0.6658237	0.8924669	0.0418157	0.8536299	0.0467017	0.7564168
0.8826756	0.0016963	0.0221701	0.6980913	0.8066404	0.7793162	0.0386064	0.7912602	0.0331749	0.7197621
0.4743150	0.5564637	0.0362647	0.5747121	0.7348826	0.7744635	0.2117040	0.8489083	0.0526609	0.8447807
0.7464078	0.0012611	0.0644797	0.2864433	0.6390832	0.7407864	0.0155225	0.7469820	0.0241223	0.8228568
0.7123657	0.0033679	0.0478156	0.6218294	0.3103942	0.8013348	0.0392720	0.7619076	0.0455483	0.8282935
0.6439222	0.0155691	0.0356981	0.6164147	0.7467145	0.4231774	0.0362114	0.7896627	0.0470109	0.9282085
0.6831579	0.0189742	0.0480176	0.7293532	0.7007368	0.8582751	0.0039759	0.8517743	0.0305420	0.8150066
0.6786081	0.0433240	0.0394525	0.7401144	0.7462619	0.7800726	0.0480468	0.4284701	0.0518770	0.8441710
0.6669066	0.0308121	0.0381271	0.7852690	0.6484118	0.6975939	0.0178910	0.6308668	0.0139798	0.7945896
0.7309744	0.0018961	0.0521575	0.6919493	0.8148941	0.6468601	0.0595983	0.7566790	0.1469894	0.3920201
