YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.0000000	0.2641795	0.1416674	0.9816427	0.1775265	0.2542810	0.0298124	0.1323818	0.0745401	1.0000000
0.9858653	0.0000003	0.5130612	0.2532349	0.9656826	0.8670925	0.1687669	0.5607869	0.0745401	1.0000000
0.9858655	0.1293918	0.0000000	0.2532353	0.9656819	0.8670909	0.1687668	0.5607867	0.0745401	1.0000000
0.9858655	0.1293918	0.5130583	0.0000000	0.9656819	0.8670909	0.1687668	0.5607867	0.0745401	1.0000000
0.8640140	0.1232452	0.5913207	1.0000000	0.0000000	0.9762659	0.4402759	0.0583469	0.0745401	1.0000000
0.8640246	0.9999998	0.1249904	0.9992328	0.0638136	0.0000000	0.4402526	0.0730906	0.0745401	1.0000000
1.0000000	0.4705330	0.1261796	0.9991136	0.0668289	0.1056672	0.0000000	0.0742453	0.0745401	1.0000000
0.8640532	0.1232455	0.5913158	0.2468609	0.9790265	0.9762594	0.4403796	0.0000000	0.0745401	1.0000000
0.9949968	0.1382623	0.4204938	0.2676481	0.9375074	0.7479227	0.1109119	0.6360942	0.0000000	1.0000000
0.8640217	0.1232454	0.5913185	0.2468609	0.9790267	0.9762645	0.4403008	0.0716075	1.0000000	0.0000000
