YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.7307746	0.9885096	0.4455836	0.0000013	0.0146940	0.2264855	0.7661021	0.6654325	0.1935595	0.4837340
0.7070182	0.9095794	0.0361101	0.6381826	0.4824523	0.1553626	0.9789129	1.0000000	0.0790616	0.8291973
0.7120712	0.9994893	0.9420298	0.0000101	0.0212300	0.1029517	1.0000000	0.9329354	0.0703774	0.9941664
0.5846740	0.7728735	0.1535908	0.4311272	0.1626590	0.1980673	1.0000000	0.6636729	0.1056248	1.0000000
0.3835015	0.5366944	0.4743081	0.2906386	0.2020451	0.1980673	1.0000000	0.8658096	0.1184134	0.8679638
0.7117764	0.9988269	0.1844845	0.4208747	0.7458595	0.1305697	0.9565518	1.0000000	0.1109575	0.9403479
0.5514516	0.7271354	0.6730924	0.0945554	0.0354894	0.4228920	0.7194472	1.0000000	0.1659005	0.5801737
0.7118332	0.9989539	0.2581580	0.3793651	0.0791751	0.1498069	0.8518581	1.0000000	0.1019668	0.8564608
0.7262163	0.9994711	0.9751777	0.0315822	0.2943468	0.2165935	0.9673472	0.9159208	0.0704001	0.7822647
0.6796148	0.9312692	0.9434257	0.0000036	0.0193818	0.2026097	0.9915000	1.0000000	0.1056248	1.0000000
