YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
0.6689451	0.6265887	0.7207955	0.6552829	0.0809587	0.3204116	0.4587701	0.1754042	0.3216219	0.1630394
0.5803817	0.5861199	0.6000944	0.5804839	0.1804875	0.5005097	0.4123287	0.1808164	0.2868194	0.1514988
0.4515804	0.3873730	0.8608379	0.6794280	0.0093158	0.3136357	0.6010551	0.0227883	0.1236257	0.4027863
0.4338989	0.4122311	0.5461134	0.4703091	0.0231885	0.2970974	0.5947269	0.1027298	0.2699049	0.4422999
0.8681820	0.4006684	0.5808389	0.0744513	0.5213603	0.2553148	0.2016756	0.3046987	0.2957488	0.0317185
0.6371964	0.4765993	0.6602790	0.2850847	0.2876617	0.6388662	0.2752881	0.2481696	0.1102799	0.2546188
0.5480885	0.6711345	0.0012904	0.5880456	0.3108765	0.4274115	0.3675691	0.1220944	0.0003677	0.0728379
0.6886142	0.4768232	0.6514317	0.1181711	0.5738922	0.4078040	0.1626001	0.4802800	0.2597559	0.0310076
0.7129040	0.3677087	0.5489765	0.4627944	0.0436453	0.2695890	0.6866533	0.0066157	0.0394081	0.4467982
0.7841385	0.4139948	0.1351127	0.6617331	0.0000007	0.2391101	0.6534644	0.0002044	0.0037292	0.3146627
