YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.5801623	0.3103495	0.3541721	0.3519678	0.9999903	0.0007360	0.4769794	0.2360215	0.0855085	1.0000000
0.4660733	0.4680484	0.3045110	0.2726720	0.9779094	0.0316306	0.8944376	0.0864024	0.0478887	0.8436979
0.4617518	0.5923815	0.8012979	0.1720257	0.7831033	0.0323485	0.4878493	0.0000025	0.0146990	0.7775895
0.6995004	0.7579352	0.8185721	0.1125913	0.9999997	0.0000324	1.0000000	0.0000004	0.0048696	1.0000000
0.5724133	0.6296884	0.8790343	0.1407985	0.6463872	0.0029248	0.3200035	0.5752332	0.0213111	1.0000000
0.4558555	0.5926431	0.8014049	0.1720722	1.0000000	0.0000241	1.0000000	0.0000187	0.0233515	1.0000000
0.5198976	0.6919010	0.8124162	0.1591156	0.9999996	0.0001637	0.6937775	0.0000710	0.0318867	0.6279618
0.5488219	0.7431119	0.8229167	0.1598320	0.9779415	0.0316078	1.0000000	0.0000003	0.0079717	1.0000000
0.6492805	0.8384834	0.8182274	0.0534427	0.9999992	0.0000726	0.7514580	0.2062580	0.0113909	0.5798740
0.0920911	0.0087595	0.0819602	0.5184204	0.2061522	0.3527505	0.0939083	0.9985168	0.9999231	1.0000000
