YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	0.9800869	0.4865652	0.3004264	0.4964370	0.7280937	0.1163147	0.3559798	0.6087803	0.6669447
0.7269069	0.0000000	0.4197763	0.3978033	0.4961559	0.6579477	0.5041180	0.0621310	0.6640280	0.7512498
0.7559780	0.0541612	0.0000000	0.7502060	0.0196041	0.0797189	0.6510366	0.0712026	0.8512317	0.6767588
0.7249327	0.1055212	0.0167681	0.0000000	0.0591469	0.0355457	0.6297118	0.1449272	0.8990237	0.7169032
0.1414271	0.8321531	0.7454054	0.8059424	0.0000000	0.8194259	0.1181496	0.3948067	0.7791086	0.7733213
0.1601593	0.7181338	0.6781902	0.8126268	0.0417192	0.0000000	0.1479331	0.2774915	0.7278956	0.7533663
0.1345719	0.8607987	0.3666190	0.2620106	0.5119653	0.8789478	0.0000000	0.3392631	0.8212268	0.7863568
0.1595987	0.7036797	0.5520479	0.3770244	0.4027256	0.6584518	0.7686533	0.0000000	0.8020962	0.7299435
0.1944836	0.7202385	0.3069365	0.2582706	0.5113599	0.8048547	0.0773929	0.6068601	0.0000000	0.7093675
0.1166002	0.7709027	0.4760918	0.3657624	0.4541232	0.7400574	0.0373360	0.8153667	0.0055142	0.0000000
