YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
1.0275760	0.8633873	1.0756431	0.8787996	0.1586981	0.4307308	0.7612355	0.1966787	0.3625574	0.3048615
0.9714378	0.9279639	1.0448995	1.0074106	0.3034585	0.6872614	0.6049235	0.2369951	0.3017369	0.1191071
0.6466907	0.5921134	0.9969652	1.0219130	0.0249165	0.4260183	0.9122164	0.0813366	0.2195660	0.6518583
0.7469771	0.6083363	0.9611136	0.8041334	0.0628351	0.4144822	0.8538802	0.1147665	0.3117352	0.6746590
1.0221332	0.5293024	1.0253790	0.1826965	0.7639940	0.4008667	0.2252758	0.6605799	0.4568934	0.0725625
0.9738049	0.7346708	1.0170673	0.5845264	0.4200909	0.6951326	0.3998256	0.4351725	0.1717681	0.4698598
0.8007354	0.9129149	0.0029231	0.9346074	0.3877046	0.5564629	0.4661883	0.1893542	0.0009526	0.1012185
0.9945246	0.7301470	1.0798852	0.1662273	0.7257969	0.5228332	0.3557494	0.6592964	0.5082442	0.0350185
0.9157150	0.6347153	0.9189013	0.8032420	0.0584497	0.3200065	1.0156434	0.0008392	0.0718082	0.6097828
0.9829208	0.5055511	0.2215211	1.0366143	0.0016702	0.4417559	0.8806589	0.0007497	0.0024276	0.4967776
