YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0212408	0.4866503	0.7224559	0.0306847	0.0657181	0.8139954	0.5232302	0.0233018	0.2620971	0.1193972
0.6110845	0.2120895	0.8112532	0.0292313	0.2077281	0.4987828	0.9078238	0.0150968	0.2454856	0.2099164
0.7800601	0.1819681	0.4698447	0.1528924	0.3514764	0.4550139	0.7775246	0.0593405	0.3539606	0.5454324
0.1211153	0.5285417	0.9023883	0.0124457	0.1260555	0.6187135	0.8300418	0.0674412	0.2523164	0.0978624
0.1127738	0.4630844	0.7045569	0.0882392	0.0326461	0.5896778	0.7522329	0.0644264	0.2318120	0.1324733
0.1369529	0.5448126	0.7773792	0.1156238	0.3752962	0.3207017	0.7694838	0.0450574	0.2126247	0.0999170
0.0720811	0.4793923	0.7740007	0.0544056	0.0818497	0.6697412	0.3344224	0.0240334	0.3351853	0.0717273
0.1416096	0.4330340	0.8665695	0.0217089	0.1019872	0.6605483	0.7901995	0.0210650	0.2531706	0.1228648
0.1128596	0.4840399	0.7945358	0.0394322	0.0824313	0.7499017	0.7231359	0.0793030	0.1366075	0.1212018
0.0648208	0.4261406	0.8390694	0.0440201	0.0638952	0.9035132	0.6977274	0.0337388	0.1528061	0.0358112
