YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.8718567	0.3972834	0.1990807	0.2214581	0.1096089	0.8402672	0.9583453	0.3809744	0.9937621
0.0624921	0.0000000	0.4497360	0.1758348	0.1372512	0.0911690	0.8414530	0.0556457	0.9553572	0.9997727
0.0521453	0.1066252	0.0000000	0.1425164	0.0942043	0.0705442	0.8204412	0.0601966	1.0076140	1.0274884
0.0560450	0.0952642	0.0213461	0.0000000	0.1327354	0.0960987	0.9670489	0.0628101	0.9727538	0.9820675
0.8650647	0.5831811	0.2191705	0.0639914	0.0000000	0.1041859	1.0375442	0.6131458	0.5054414	1.0521131
0.8344772	0.5058735	0.1408609	0.0736700	0.0115124	0.0000000	0.9769525	0.6579287	0.5514954	1.0173929
0.9643854	0.9857183	0.8846543	0.9252860	1.0044690	1.0248554	0.0000000	0.8756512	0.4080566	0.9570957
1.0160698	0.9192324	0.5789552	0.4495814	0.2080291	0.1033005	0.7148110	0.0000000	0.3942148	1.0114588
0.9955263	0.8583058	0.3460383	0.1179275	0.0834883	0.0618763	0.9039836	0.9497628	0.0000000	0.9728444
1.0026693	0.9748862	0.7995931	0.8870864	1.0224167	0.9492872	0.0690037	0.0752918	1.0684530	0.0000000
