YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0288716	0.5004184	0.3661638	0.7188372	0.7561937	0.5443355	0.3779751	0.6893788	0.5408837	0.3397397
0.0144193	0.7054588	0.4171866	0.6047775	0.7423429	0.4463529	0.2339492	0.7238565	0.4272223	0.2681929
0.0091372	0.7071007	0.2599196	0.7687859	0.3305190	0.4074391	0.2629063	0.6075264	0.4915633	0.3284514
0.0099457	0.5728469	0.3046133	0.6607145	0.5832612	0.5166617	0.2932371	0.6282825	0.3331630	0.2914098
0.0008256	0.5369469	0.5170799	0.6158831	0.6967288	0.4184190	0.2789786	0.6308627	0.4315330	0.3933198
0.0013149	0.6106398	0.4609091	0.7449727	0.4506285	0.5418657	0.4055652	0.6454485	0.3300065	0.4032900
0.0082769	0.6153348	0.3403694	0.6433723	0.7048344	0.4490933	0.3740378	0.6048608	0.5251865	0.2945510
0.0147914	0.5102021	0.3463518	0.7517842	0.7591328	0.5966422	0.3599265	0.6711143	0.5343389	0.3725651
0.0115985	0.5226478	0.5379808	0.7829736	0.7306592	0.4981808	0.3979917	0.6597369	0.4630709	0.3536294
0.0262717	0.6741727	0.2838511	0.7292924	0.6350124	0.4952830	0.3011678	0.5508247	0.5013394	0.2952372
