YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0234064	0.2988551	0.8584967	0.5301466	1.0552525	0.5808758	0.8412896	1.0201324	0.0946451	1.0396205
0.0373241	0.1109006	0.7774462	0.5734559	0.9812039	0.6023167	0.9593120	1.0136181	0.1118080	1.0404876
0.0559005	0.2493654	0.4498524	0.5366382	0.9359649	0.5936431	0.8394279	0.9693463	0.1140034	1.0053736
0.1821103	0.4904155	0.9601517	0.3012103	0.9385460	0.5275508	0.9416362	1.0231624	0.1043155	1.0414724
0.2083386	0.5865988	0.9015083	0.2074967	0.4971466	0.5672481	0.9110258	0.9718730	0.1116245	0.9947987
0.0748838	0.3006482	0.8143076	0.5959565	0.9968336	0.3063358	1.0459674	1.0222671	0.0894185	1.0204867
0.1111835	0.3462048	0.9049253	0.4187021	0.8358968	0.0901785	0.5146863	0.9698533	0.0915660	1.0353424
0.0940334	0.3296124	0.8052411	0.6288469	0.9849225	0.5960595	1.0113892	0.4980425	0.0903133	0.9907559
0.0802959	0.3230785	0.7978245	0.5546008	0.9091055	0.6147694	0.8094141	1.0380152	0.0407597	1.0728894
0.0704048	0.2415505	0.8008341	0.5553163	0.9690185	0.6298869	0.9539331	0.7205619	0.3202799	0.5244393
