YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.3026173	0.0630339	0.2685815	0.7209691	0.4864775	0.8133966	0.0568694	0.6497936	0.7485567	0.6886612
0.5256438	0.0704826	0.3060734	0.4844932	0.5002101	0.7801654	0.0333113	0.7428553	0.7103368	0.7486980
0.5535131	0.1237640	0.3371465	0.4485327	0.5854204	0.8758624	0.0287074	0.6169021	0.8069600	0.6762620
0.3614418	0.4289628	0.6057207	0.3969786	0.4490857	0.7400147	0.0452647	0.8008300	0.8030692	0.7330258
0.3081516	0.1950078	0.4392080	0.3289865	0.3353923	0.9452920	0.0301659	0.6030751	0.6371211	0.8976778
0.4422323	0.2448497	0.3599495	0.6351494	0.2396346	0.3887364	0.0554390	0.6373405	0.7160307	0.7474577
0.4779196	0.1484155	0.3226349	0.7069954	0.4749335	0.9028626	0.0254916	0.5424297	0.7675456	0.8566992
0.5105711	0.2676540	0.4229785	0.4875896	0.4818585	0.6421850	0.0413953	0.2682773	0.6820804	0.7981644
0.4612074	0.2266434	0.4490203	0.4612592	0.4609048	0.6805054	0.0486999	0.3328951	0.3963112	0.7696599
0.4748937	0.2169633	0.3550414	0.7876995	0.2968134	0.6408093	0.0259072	0.6770000	0.6499402	0.3957489
