YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0624984	0.1302195	0.0654421	0.2616197	0.7783106	0.0560096	0.0353088	0.4345877	0.7893451	0.6969581
0.3610169	0.1597608	0.1084806	0.3320590	0.7658746	0.0576560	0.0305032	0.4216232	0.8995324	0.6577427
0.3351491	0.0911597	0.0722308	0.4236960	0.8723282	0.0410748	0.0284813	0.5284531	0.7709583	0.7529660
0.1004589	0.0634389	0.0179110	0.1326686	0.7596785	0.0245552	0.0336429	0.4035960	0.6351259	0.8199293
0.5488189	0.6087760	0.3648865	0.7485186	0.2907723	0.2460980	0.0322598	0.4237797	0.6851683	0.1211462
0.4278442	0.4100461	0.1327748	0.3382564	0.7284433	0.0459635	0.0450154	0.5591622	0.5765523	0.5078077
0.3409185	0.3345958	0.1288734	0.3604783	0.8109115	0.0514866	0.0048839	0.4735657	0.8147500	0.5193503
0.2579151	0.1270089	0.0863305	0.3445404	0.7976350	0.0310669	0.0337161	0.1925226	0.7929883	0.8778684
0.2715328	0.2890926	0.1609630	0.3991889	0.7769555	0.0979380	0.0398063	0.3279482	0.3956742	0.6817168
0.2574916	0.1136611	0.1470291	0.3608852	0.6951735	0.0503881	0.0174731	0.4477833	0.8163961	0.3745742
