YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0221157	0.5498451	0.4085519	0.7006156	0.8128385	0.5069700	0.4042430	0.6225210	0.3560733	0.2852991
0.0106765	0.6702530	0.4739261	0.7780089	0.6290767	0.4183563	0.2980653	0.6810216	0.3528570	0.3465359
0.0320249	0.7094490	0.3467422	0.5750848	0.3155941	0.4696507	0.2875903	0.5920386	0.5233019	0.2720731
0.0116003	0.5652341	0.4861682	0.7855643	0.6367666	0.4846034	0.3377539	0.7851571	0.4237505	0.2723249
0.0309773	0.5791608	0.3934675	0.8199205	0.7263560	0.4656678	0.3290765	0.5810979	0.4624616	0.2592922
0.0023860	0.6294844	0.4615749	0.7129577	0.4237218	0.6485479	0.3847754	0.5390641	0.3223047	0.3247514
0.0206981	0.6867098	0.3858632	0.7838623	0.7604095	0.5308709	0.4245335	0.6615239	0.4461283	0.2433871
0.0241105	0.4873115	0.3991438	0.5820978	0.7864856	0.6059150	0.3346015	0.6019616	0.5458686	0.3047390
0.0055338	0.6142260	0.5642310	0.7448159	0.6605858	0.5732169	0.4312549	0.6764468	0.3636284	0.4225234
0.0210254	0.4916615	0.3515100	0.7043263	0.6387975	0.5794843	0.2817885	0.5788683	0.4807906	0.3416541
