"Time"	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C

0	0.0925163	1.0031345	0.0083599	0.0972340	0.2554998	1.0377395	0.0548743	0.0631949	0.8309142	1.0300467
50	0.1979535	0.8038938	0.0162818	0.1441265	0.2288922	0.9084895	0.2369205	0.0574040	0.8043444	0.9036832
100	0.2381346	0.8246130	0.0248763	0.1189289	0.2914346	0.9684859	0.4651906	0.2076323	0.8205188	0.8969511
150	0.2727993	0.7009732	0.0152474	0.1259472	0.2915262	0.9755816	0.5287510	0.4923757	0.8447763	1.0384335
200	0.3641786	0.7472802	0.0155221	0.1766165	0.2865160	0.8510854	0.6119332	0.6859749	0.8927232	0.9408975
250	0.3662672	0.7283218	0.0154539	0.2548347	0.4017054	0.8144622	0.5803138	0.8135680	0.8372088	1.0168036
300	0.4361206	0.7381864	0.0148935	0.3550437	0.3923725	0.7946535	0.7514655	0.8986505	0.8050836	1.0756934
350	0.5077012	0.7069169	0.0321765	0.3819338	0.4809945	0.7555196	0.8007632	0.9686525	0.8399477	1.0144456
400	0.5473806	0.7138166	0.0506656	0.4546594	0.4506700	0.6568953	0.8029114	1.0490470	0.8933599	1.0677391
450	0.6683495	0.6598406	0.0853195	0.4777588	0.4762852	0.6798300	0.8192772	0.9817328	0.8773620	1.1156702
500	0.6717486	0.5916162	0.1151528	0.4260263	0.4192474	0.6867341	0.7422120	0.9925815	0.8572675	1.0945358
550	0.6520188	0.6243579	0.0998664	0.4404813	0.4649872	0.6696184	0.5760866	1.0714205	0.9675797	0.9842466
600	0.6640112	0.7956967	0.0981422	0.5681156	0.4945184	0.8018015	0.3748554	1.0690747	0.8411505	0.9047948
650	0.7519460	0.7530501	0.1132201	0.6110726	0.5021092	0.8496975	0.2045424	0.8639275	0.8330649	0.9069536
700	0.7208460	0.7999093	0.1498635	0.5374306	0.3576709	0.7821906	0.1366104	0.4878231	0.8827136	0.9845492
750	0.5017621	0.8115531	0.1298315	0.4452127	0.4407679	0.8596232	0.0915546	0.2747274	0.9178398	0.9765801
800	0.4994220	0.8818689	0.1219848	0.4471442	0.3213147	1.0128469	0.1215880	0.1337560	0.8315041	0.9923134
850	0.3388625	0.9918921	0.1114491	0.2546382	0.2980475	0.9780567	0.1535391	0.0880013	0.9873070	0.9846779
900	0.2338494	0.9887024	0.0444477	0.1888732	0.2566892	0.9430708	0.1310658	0.0461201	0.8879957	0.9640888
950	0.1808399	0.9895140	0.0276241	0.1906559	0.3394858	0.9357393	0.1074270	0.0563067	0.9314683	0.9621309
1000	0.2484893	0.9972399	0.0256603	0.2266088	0.3400898	0.8598942	0.0850115	0.0679651	0.8635238	0.9059256

0	0.0925163	1.0031345	0.0083599	0.0972340	0.2554998	1.0377395	0.0548743	0.0631949	0.8309142	1.0300467
50	0.1906924	0.9715219	0.0239123	0.1552255	0.3086216	0.8820802	0.0578369	0.0505783	1.0294453	1.0409555
100	0.3565687	0.9128896	0.0151599	0.2446231	0.2906246	0.8827568	0.0557351	0.0594404	0.8090703	1.0877107
150	0.4991959	0.9463358	0.0173478	0.3337764	0.3135815	0.9773384	0.0379054	0.0570160	0.8367913	1.0299208
200	0.5658644	0.8529281	0.0116988	0.3611344	0.2897364	0.9654469	0.0627284	0.0567354	0.8816858	0.9980064
250	0.5578298	0.9039846	0.0305967	0.3350103	0.2426772	1.0467879	0.0657433	0.0375212	0.8582098	1.0201262
300	0.5126024	0.9175394	0.0386079	0.2483816	0.2681562	0.9838620	0.0601392	0.0524721	0.9186368	0.9863561
350	0.4706680	0.9186235	0.0311700	0.2582815	0.2942269	1.0304586	0.0576281	0.0668576	0.9614714	1.0192135
400	0.5321681	0.9957088	0.0344383	0.2836397	0.2327534	1.0822906	0.0775910	0.0746646	1.0020716	1.0989369
450	0.6038228	0.8558483	0.0452192	0.2327365	0.2580972	1.1227290	0.0788961	0.0566186	1.0516407	1.0489103
500	0.6290086	0.8411135	0.0288822	0.2731401	0.1816379	1.0515720	0.0917872	0.0524336	0.9386644	0.9645581
550	0.4294235	0.9365340	0.0251948	0.1637879	0.2168242	1.0259836	0.0757560	0.0590716	0.8135263	0.8642054
600	0.2724251	0.9098029	0.0282084	0.0896972	0.2086616	1.0408388	0.0641995	0.0669683	0.8925979	0.9636128
650	0.1360830	0.9360434	0.0197043	0.0752521	0.1923831	1.0690823	0.0554066	0.0693376	0.8662053	1.0328493
700	0.0683876	1.0206872	0.0152993	0.0577192	0.2105599	0.9806096	0.0614392	0.0527179	0.8834774	0.9600457
750	0.0604694	0.9410642	0.0175909	0.0668704	0.2454552	0.8469568	0.0618673	0.0368419	0.8396323	1.0397079
800	0.0683795	0.9412741	0.0131821	0.0964806	0.2953028	0.9230923	0.0564889	0.0419046	0.8670075	0.9843323
850	0.0870597	0.9171407	0.0108069	0.1265987	0.2676325	0.9817999	0.0751202	0.0505071	0.9085266	1.0213705
900	0.1061343	1.0135115	0.0146808	0.1636489	0.2570255	0.9431788	0.0756743	0.0519314	0.8752508	1.0183659
950	0.1037336	1.0175937	0.0198577	0.1703584	0.2462090	0.9724383	0.0382261	0.0514958	0.8022818	0.9722317
1000	0.0910912	1.0731712	0.0154265	0.1203778	0.2643684	1.0430592	0.0608217	0.0423638	0.7912358	1.0268451

0	0.0925163	1.0031345	0.0083599	0.0972340	0.2554998	1.0377395	0.0548743	0.0631949	0.8309142	1.0300467
50	0.1754892	0.9575317	0.1988825	0.0905698	0.1072278	0.9985232	0.0771012	0.2322541	0.8611667	0.9760966
100	0.3355879	0.8921878	0.3870878	0.0556554	0.0377130	0.8591788	0.1477886	0.4043105	0.9063770	0.9320122
150	0.3796561	0.8507849	0.5554731	0.0440577	0.0336430	0.9332257	0.1389855	0.5197590	0.8841347	1.0187463
200	0.4090218	0.8750549	0.5987660	0.0615899	0.0161532	0.9982446	0.1826523	0.5178857	0.9474163	1.0465366
250	0.4246088	0.8142113	0.6542068	0.0215616	0.0219690	0.9473530	0.1635721	0.6434665	0.8270118	1.0508303
300	0.4281879	0.7686485	0.6744058	0.0479374	0.0064862	0.9508420	0.1770247	0.5968820	0.8486555	1.0178594
350	0.4025901	0.8340285	0.6646946	0.0481514	0.0069098	0.9310202	0.1995952	0.4820224	0.8712881	0.9635970
400	0.3973306	0.8921266	0.7220189	0.0321778	0.0017519	0.9257833	0.1686194	0.5255777	0.8749323	0.9508959
450	0.3898202	0.8410903	0.6143365	0.0432478	0.0010108	0.9511239	0.1932409	0.5250836	0.8691021	1.0275946
500	0.3641731	0.7028493	0.6581069	0.0234534	0.0053573	0.9809611	0.1847534	0.6105001	0.8456012	0.9891375
550	0.2498529	0.8707455	0.4660508	0.0332066	0.1251027	1.0009319	0.2110975	0.4044999	0.9150823	0.9867558
600	0.1280666	0.9025899	0.2287169	0.0354777	0.2124409	1.1079346	0.2027604	0.2767514	0.9320634	1.0411589
650	0.0760216	0.8889471	0.0971813	0.0283291	0.2661481	1.1084646	0.2055967	0.2010027	0.7862906	1.0248179
700	0.0756896	0.8698088	0.0579898	0.0756785	0.2308687	0.9848165	0.1663764	0.1280745	0.8922351	0.9685855
750	0.0463467	0.9653525	0.0388914	0.0439285	0.2185433	0.9359071	0.1262965	0.1020096	0.9660112	1.0050660
800	0.0402515	0.9058965	0.0315709	0.0951140	0.2904026	0.9013663	0.1119160	0.1091765	0.9938772	1.0370680
850	0.0988507	1.0136675	0.0270343	0.1369244	0.2733295	0.9943671	0.1263133	0.0938559	0.9524298	1.0753999
900	0.1154340	1.0962924	0.0217577	0.1109116	0.2527204	0.9518436	0.1138208	0.0735651	0.8428228	1.0841912
950	0.1005963	1.0045875	0.0227087	0.1131922	0.2500700	1.0126743	0.0770846	0.0710263	0.8699839	1.0487951
1000	0.0948581	1.0506593	0.0149113	0.1092010	0.2743616	0.8997956	0.0722658	0.0860801	0.8725147	1.0294096

0	0.0925163	1.0031345	0.0083599	0.0972340	0.2554998	1.0377395	0.0548743	0.0631949	0.8309142	1.0300467
50	0.1920806	0.8862744	0.0081029	0.0576629	0.0785600	1.0500621	0.0656950	0.0340440	0.8602689	0.9443052
100	0.3287555	0.9154691	0.0090198	0.0490908	0.0267982	1.0023258	0.0565403	0.0396489	0.7598575	0.9780819
150	0.5582783	1.0393684	0.0156276	0.0428257	0.0162896	0.9676883	0.0548992	0.0441627	0.7947146	1.0121363
200	0.5389169	0.9880625	0.0101564	0.0591695	0.0092279	0.8686734	0.0599317	0.0705604	0.8683396	1.0533455
250	0.5974205	0.9702436	0.0100455	0.0295956	0.0356453	0.8614964	0.0561461	0.1070207	0.8604045	0.9965758
300	0.6240003	0.9561434	0.0159297	0.0250904	0.0090200	0.8666103	0.0315435	0.0887938	0.8538716	1.0455010
350	0.6029500	1.0006657	0.0224844	0.0258085	0.0070853	0.8587861	0.0510274	0.0902745	0.8693570	0.9431393
400	0.6676296	0.9782052	0.0066684	0.0266115	0.0211943	0.8053410	0.0446381	0.0821649	0.8930356	0.9911195
450	0.6614494	0.9440465	0.0102634	0.0385344	0.0104419	0.8002219	0.0423639	0.0644336	0.8455508	1.0163580
500	0.6510608	0.9411758	0.0100557	0.0461573	0.0170350	0.8298044	0.0708327	0.0601873	0.8415946	1.0286736
550	0.4466293	0.9940914	0.0274152	0.0420571	0.2100859	0.8793792	0.0698406	0.0378236	0.8436073	0.9406573
600	0.2703888	0.9606239	0.0172672	0.0815763	0.3032666	0.8901644	0.0708270	0.0504551	0.8372855	0.8966766
650	0.2677012	0.9961164	0.0055343	0.2176323	0.3113007	0.9274644	0.0618950	0.0471159	0.8401563	0.9738360
700	0.3006672	1.0203454	0.0200816	0.2045560	0.3060651	0.9001588	0.0650427	0.0445147	0.8151352	1.0110702
750	0.1895288	1.0362774	0.0117549	0.1415241	0.2535563	1.0225340	0.0526942	0.0683542	0.7901740	0.9729780
800	0.1348196	1.0891802	0.0075120	0.0870397	0.2994299	0.9968354	0.0595394	0.0610158	0.8569775	0.9478576
850	0.1001892	1.0051051	0.0153690	0.1103506	0.2866966	1.0306248	0.0593009	0.0652709	0.8735164	1.0164319
900	0.0721367	0.9580045	0.0208846	0.0908805	0.1889796	1.0609630	0.0602031	0.0708542	0.8406815	1.0081232
950	0.0553133	0.9785071	0.0201957	0.0873651	0.2505665	1.0121857	0.0530425	0.0660921	0.8599098	1.0182311
