YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.1013245	0.3816571	0.2209670	0.5354605	0.6392272	0.0609978	0.1877046	0.0750968	0.0524943	0.6595260
0.2869341	0.3071416	0.0298317	0.1826747	0.8002099	0.0963507	0.0559450	0.0239242	0.0815257	0.7013697
0.2015842	0.8384126	0.0647880	0.3205457	0.7353587	0.1012051	0.0340995	0.0396424	0.0555647	0.6707471
0.1540550	0.6815557	0.0314987	0.2055640	0.7515338	0.1213013	0.0553284	0.0736225	0.0821477	0.7269077
0.2947412	0.4886359	0.1157126	0.2523108	0.2952338	0.1449913	0.1102486	0.0358660	0.0570966	0.8831105
0.1676032	0.3663041	0.2649643	0.2937403	0.7309614	0.0447078	0.1135210	0.0747470	0.0350403	0.6778381
0.2272085	0.6979492	0.1101711	0.2560236	0.6109916	0.1390914	0.0263841	0.0517823	0.0446727	0.8393125
0.1271403	0.5828201	0.1983715	0.3564518	0.6849623	0.0623960	0.1495260	0.0132546	0.0524019	0.7643698
0.1557225	0.7988835	0.0605261	0.2668374	0.8702504	0.0967540	0.0568231	0.0515508	0.0082045	0.6888079
0.2168488	0.7320182	0.0444694	0.3983347	0.4776388	0.1750527	0.0779727	0.0463998	0.2037210	0.3908361
