YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.7573882	0.7113467	0.1561668	0.1463936	0.8993013	0.8317748	0.4632817	0.4223167	0.8151962
0.0104237	0.0000000	0.6493600	0.1342889	0.1619901	0.8922533	0.6987750	0.2727875	0.7915575	0.7642609
0.0751883	0.0602801	0.0000000	0.0706807	0.1411201	0.7613295	0.7220232	0.3347601	0.6200781	0.7443182
0.7525529	0.8227981	0.6180107	0.0000000	0.1218202	0.7829009	0.7027092	0.5608820	0.3669617	0.7850158
0.7738114	0.6643049	0.6426544	0.0931053	0.0000000	0.7300798	0.6793637	0.5002611	0.4454571	0.8255535
0.0379405	0.0245053	0.0708782	0.6527940	0.7293721	0.0000000	0.5566198	0.2525817	0.6585658	0.7610432
0.0376919	0.0491826	0.0507619	0.4646531	0.8166715	0.0052176	0.0000000	0.3387067	0.7200569	0.7665473
0.7976935	0.7690031	0.6443693	0.1230646	0.1526584	0.7319626	0.7286235	0.0000000	0.4072791	0.6874166
0.7257030	0.7186777	0.4475275	0.1036587	0.1306705	0.7004452	0.8498259	0.8543279	0.0000000	0.7503054
0.0480243	0.0411494	0.1697276	0.5740015	0.7683442	0.0357915	0.0033734	0.5190969	0.4171932	0.0000000
