YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.0000029	0.2124544	0.4256957	0.4464050	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.5488175	0.0000004	0.4256885	0.4464101	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.7619274	0.0905727	0.0000000	0.5690309	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.9795662	0.8365813	1.0000000	0.0000000	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.9330339	0.2383443	0.4463524	0.4270760	0.0000000	1.0000000	1.0000000	0.7032312	1.0000000	1.0000000
0.7672986	0.0926568	0.1799074	0.9417175	0.9999981	0.0000027	1.0000000	0.7032312	1.0000000	1.0000000
0.4188760	0.0905726	0.4257016	0.4464009	0.1584881	1.0000000	0.0000006	0.7032312	1.0000000	1.0000000
0.5487535	0.2124589	0.4256982	0.4464033	0.1584881	1.0000000	1.0000000	0.0000006	1.0000000	1.0000000
0.5487537	0.2124624	0.4257001	0.4464020	0.1584881	1.0000000	1.0000000	0.0183885	0.0000009	1.0000000
0.9211724	0.2124651	0.4257016	0.4464009	0.1584881	1.0000000	1.0000000	0.7032312	1.0000000	0.0000008
