YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0000000	0.6256696	0.4799643	0.9199293	0.7624727	0.6040809	0.3507143	0.7468205	0.5055582	0.2504699
0.7360266	0.0000000	0.4630834	0.7371082	0.7857906	0.6126332	0.5077648	0.6539071	0.3706781	0.2990461
0.6439864	0.0124595	0.0000000	0.8508376	0.7985233	0.7602575	0.4569155	0.6386257	0.3152934	0.3601854
0.7930305	0.0486658	0.0060893	0.0000000	0.8442143	0.6609533	0.4834105	0.6782166	0.7846074	0.4126578
0.7176863	0.0640284	0.0048407	0.0537793	0.0000000	0.7883852	0.4532542	0.6058879	0.6574104	0.3356272
0.0219598	0.6208479	0.3904271	0.8284696	0.6954181	0.0000000	0.1086163	0.6897807	0.3734432	0.4270647
0.0244633	0.5425650	0.3590209	0.7487170	0.8167199	0.7806506	0.0000000	0.6986648	0.4419940	0.3559560
0.0262212	0.5373005	0.3613902	0.7315651	0.7467299	0.3672947	0.8374529	0.0000000	0.2910803	0.7223010
0.0125836	0.5227811	0.4203430	0.7398830	0.6801303	0.3946762	0.7477845	0.0287414	0.0000000	0.6543621
0.0282862	0.4692117	0.3397791	0.7933484	0.7125462	0.4352954	0.3477344	0.6571087	0.8070683	0.0000000
