YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.4981361	0.3928446	0.4840631	0.9909906	0.1115780	0.6832092	0.9172649	0.4405520	0.9564186	0.2257696
0.9801003	0.1969108	0.4819242	0.9910876	0.1109031	0.6883706	0.9282332	0.5044120	0.8872537	0.3102388
0.9990315	0.6828121	0.2405502	0.9911296	0.1106459	0.6902033	0.9320536	0.5308690	0.9903620	0.1399885
0.9962897	0.3939380	0.4817296	0.4955696	0.1108426	0.6887581	0.9289757	0.5091603	0.9557376	0.2268635
0.9962898	0.3939387	0.4817270	0.9979910	0.0554238	0.6887673	0.9289997	0.5093314	0.9565112	0.2255108
0.9932270	0.3075876	0.6927318	0.9682336	0.2018087	0.3442613	0.9284957	0.5060016	0.9323401	0.2608083
0.9932537	0.3080167	0.6910990	0.9685629	0.2008172	0.3463036	0.4642476	0.5059980	0.9326167	0.2605652
0.9960307	0.3829825	0.4995888	0.9900928	0.1165313	0.6508263	0.8552171	0.2544085	0.9541438	0.2296270
0.9963393	0.3965910	0.4770586	0.9913325	0.1093912	0.6992935	0.9515127	0.7253349	0.4784193	0.2247460
0.9962951	0.3943117	0.4808387	0.9911363	0.1105619	0.6910055	0.9338969	0.5449359	0.9951942	0.1127318
