"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W

0	0.0219249	0.7822012	0.5538653	1.0100101	1.0256086	0.6804302	0.4540973	0.8669711	0.5515112	0.4680442
50	0.0198352	0.7575669	0.4926269	0.9440662	1.0022603	0.5763570	0.4575306	0.8769607	0.6023452	0.4552624
100	0.0287186	0.7209332	0.4953622	0.8518966	0.8680489	0.6964003	0.4825249	0.9602615	0.5955121	0.4777410
150	0.0304017	0.7612429	0.4962666	0.9250737	1.0113513	0.7072423	0.5334698	0.8899069	0.5954665	0.4156440
200	0.0271798	0.7353028	0.4499761	0.8930530	1.0447936	0.6477728	0.4952058	0.8912444	0.5739665	0.4256983
250	0.0112011	0.7569819	0.4259279	0.9592504	1.0383892	0.5911307	0.4600044	0.8234156	0.5683257	0.4752880
300	0.0258466	0.7160441	0.5321443	1.0167494	0.9778034	0.7511449	0.4312894	0.8293057	0.5121249	0.3875580
350	0.0370747	0.7619918	0.5420524	1.0332183	0.9311865	0.6557033	0.5367920	0.8884970	0.5991788	0.3765074
400	0.0287278	0.7254050	0.4538115	0.9251236	0.9943278	0.6733807	0.4196495	0.9071781	0.6206188	0.4209345
450	0.0146318	0.6791342	0.4516391	0.9602416	0.8955867	0.6213052	0.4131836	0.8155651	0.6285949	0.4648493
500	0.0163150	0.7171723	0.4237350	1.0091669	0.8661158	0.7287744	0.4629885	0.8576292	0.5872155	0.5600431
550	0.0237161	0.7059572	0.4465983	0.9669664	0.9731787	0.7248656	0.4762650	0.8195486	0.5491220	0.5033920
600	0.0303539	0.7199236	0.5660737	1.0974958	1.0028124	0.6618562	0.5315534	0.7986183	0.6339853	0.4602052
650	0.0201001	0.6947373	0.5239096	1.0573126	1.0174518	0.5913024	0.4648187	0.7780159	0.5716136	0.4053229
700	0.0187475	0.8382893	0.4808122	1.0008044	1.0222760	0.6146640	0.5053733	0.8708131	0.6200000	0.4471235
750	0.0198992	0.7265443	0.4555056	0.9898402	0.9339971	0.6713045	0.5511019	0.9716014	0.5869482	0.4528855
800	0.0196070	0.8535985	0.4458748	0.9801010	0.9383587	0.6910136	0.4157504	0.8901135	0.5575519	0.4157093
850	0.0395966	0.8419798	0.4834449	0.9787234	0.9842431	0.7259555	0.4979122	0.8320330	0.5753340	0.4678534
900	0.0250909	0.8011233	0.5188484	1.0212760	1.0100175	0.6228032	0.5801402	0.8793421	0.5419891	0.4372420
950	0.0132472	0.8102817	0.4813476	1.0009952	0.9375547	0.6101398	0.5723415	0.7914125	0.5532330	0.4159844
1000	0.0191479	0.6206035	0.4608385	0.8886225	0.9503733	0.5999031	0.5656233	0.7959800	0.6346739	0.4099856

0	0.0219249	0.7822012	0.5538653	1.0100101	1.0256086	0.6804302	0.4540973	0.8669711	0.5515112	0.4680442
50	0.0108004	0.7828329	0.6396156	1.0652868	0.9985425	0.6479158	0.4793272	0.9049763	0.5258460	0.3992468
100	0.0197293	0.7386611	0.8562740	1.0508307	0.9232088	0.5504409	0.4525940	0.8199748	0.5998091	0.3840066
150	0.0203300	0.7897227	0.7658641	0.9357244	0.8643634	0.5179076	0.3888485	0.8376377	0.5923712	0.4316812
200	0.0272195	0.8004205	0.7070291	1.0072254	0.9161275	0.4760523	0.4003686	0.9150492	0.6071533	0.3999799
250	0.0306526	0.7555032	0.7902287	1.0291783	0.9188175	0.5658629	0.3982306	0.8111976	0.5990940	0.4366587
300	0.0241971	0.7670685	0.7533204	1.0345382	0.9297398	0.5062433	0.4187703	0.9230088	0.6069563	0.3413285
350	0.0224114	0.8139812	0.7668193	0.9612241	0.8714818	0.5102139	0.3754092	0.8467017	0.6132965	0.3780077
400	0.0050448	0.7707790	0.7328647	0.9906663	1.0173555	0.5083761	0.3850206	0.8556655	0.6767923	0.4167323
450	0.0202427	0.7736782	0.8038055	0.8921004	0.9751021	0.5395599	0.4591363	0.9090626	0.6773975	0.4497335
500	0.0230974	0.7755118	0.8057431	0.9607796	1.0323197	0.4998120	0.4646977	0.8413174	0.5765981	0.4788162
550	0.0154487	0.7827648	0.6584935	0.9530787	1.0699193	0.5929232	0.3918454	0.9219928	0.6071526	0.4087651
600	0.0195182	0.7956153	0.6126419	0.9514610	1.0204007	0.7056718	0.3977489	0.9771848	0.5770313	0.4207697
650	0.0104953	0.8762126	0.4962910	0.9684065	0.9974277	0.6969438	0.4678105	0.9071123	0.6022153	0.4455508
700	0.0187195	0.8117346	0.5019143	0.9259307	1.0698692	0.6531783	0.4689143	0.9552770	0.6021254	0.3983901
750	0.0184185	0.7606981	0.5035797	0.9978736	1.0614425	0.6303357	0.4662999	0.8577519	0.7145420	0.4047632
800	0.0188138	0.8004431	0.4990801	0.9474252	1.1201831	0.6839061	0.5501293	0.9606644	0.6892782	0.4862680
850	0.0147866	0.8144770	0.4996452	1.0351255	1.0862544	0.6034001	0.5188369	0.9432500	0.5919827	0.4440486
900	0.0235632	0.7774112	0.5272801	0.8747364	1.0472950	0.5324055	0.5116720	0.8749335	0.4959564	0.4870628
950	0.0235440	0.7309244	0.5465407	0.9452348	1.0199244	0.6674895	0.5023425	0.8153537	0.5027658	0.4269905
1000	0.0224141	0.8270135	0.5465877	0.9394963	1.1001978	0.6204046	0.5466894	0.8702573	0.5381695	0.3675870

0	0.0219249	0.7822012	0.5538653	1.0100101	1.0256086	0.6804302	0.4540973	0.8669711	0.5515112	0.4680442
50	0.0140827	0.7715496	0.6369245	0.9334319	0.9958178	0.6237653	0.5406314	0.8748790	0.5978876	0.4468270
100	0.0218369	0.9261049	0.7860435	0.9465192	1.0417046	0.5664688	0.5376826	0.8626444	0.6423007	0.4223688
150	0.0115640	0.8912341	0.9752620	0.9044464	1.0128168	0.4993285	0.4545808	0.8853688	0.6272359	0.4221481
200	0.0018039	0.9583976	0.8897657	0.8941950	1.0738921	0.5749446	0.3722478	0.9165455	0.5287442	0.3914006
250	0.0026467	0.9305857	0.8699668	1.0100043	0.9688270	0.6112890	0.4192809	0.7447712	0.5412510	0.4416226
300	0.0010963	0.9055155	0.8904321	0.9856898	0.9569630	0.5971743	0.4877081	0.8076842	0.4748400	0.4535609
350	0.0017695	0.8864960	0.8643184	1.0404155	0.8672463	0.5355215	0.5203657	0.9599420	0.5473599	0.4504457
400	0.0031518	0.8801753	0.8557924	1.0737866	0.9482452	0.5139627	0.4324622	0.8836185	0.5899961	0.4418091
450	0.0015615	0.8831655	0.8681024	1.0526799	0.9111531	0.5761070	0.3953670	0.9104185	0.5934828	0.4888253
500	0.0045520	1.0114639	0.8877827	0.9788060	0.9287355	0.6147461	0.4001666	0.9187703	0.5188960	0.4776425
550	0.0188324	0.9234814	0.7079900	1.0501190	0.9576797	0.6294090	0.4913289	0.8527599	0.5905558	0.4074135
600	0.0257716	0.9519110	0.5609178	0.9537350	1.0219046	0.7090173	0.3928643	0.8679775	0.5357750	0.4668490
650	0.0104119	0.8248181	0.5261734	1.0090028	0.9976247	0.6441508	0.4666493	0.9127910	0.5994968	0.4321176
700	0.0102084	0.6541349	0.3936829	0.8565283	0.9300798	0.6652558	0.4034671	0.9833078	0.6435865	0.4002870
750	0.0263027	0.7368900	0.3958458	1.0035823	0.9910265	0.7182529	0.4792040	0.8645097	0.6099754	0.4163530
800	0.0107565	0.8233822	0.4038773	0.9591145	1.0682381	0.7337881	0.5116859	0.9100515	0.5959765	0.4604108
850	0.0228056	0.7310494	0.4987689	1.0449392	0.8912799	0.6677421	0.5011383	0.9051721	0.6212473	0.5297703
900	0.0326184	0.7354175	0.4751260	0.9981419	0.9867917	0.6960715	0.5019387	0.8340141	0.6279404	0.4110300
950	0.0139195	0.7181588	0.4989809	1.0041168	0.9854325	0.7696841	0.5103188	0.9874922	0.5867017	0.3883030
1000	0.0192418	0.7141038	0.5315141	0.9806646	0.9863444	0.6380509	0.5733158	0.9201144	0.5705737	0.3590070

0	0.0219249	0.7822012	0.5538653	1.0100101	1.0256086	0.6804302	0.4540973	0.8669711	0.5515112	0.4680442
50	0.0109489	0.7086644	0.6365237	1.0234018	0.9948193	0.6841834	0.5244665	0.8618384	0.5235099	0.4225532
100	0.0111644	0.7909698	0.7594941	0.9939126	1.0109202	0.6394651	0.5414963	0.7507337	0.5643850	0.4500656
150	0.0075985	0.7312553	0.8250689	0.9666103	1.1026892	0.6004953	0.5540486	0.9162480	0.5884157	0.4451260
200	0.0025776	0.7834496	0.8783554	1.0128862	0.9264194	0.5430402	0.4004827	0.9146879	0.6056473	0.4279596
250	0.0022975	0.8355497	0.8206483	0.9668813	0.9801236	0.5610003	0.4449337	0.8092961	0.5778564	0.4297979
300	0.0039240	0.8072334	0.9103649	1.0288818	0.9414745	0.7229459	0.4230074	0.8063627	0.6339822	0.4184994
350	0.0008839	0.8753052	0.9007211	1.0001396	1.0578199	0.6316586	0.4712796	0.8107011	0.6737701	0.3947896
400	0.0006930	0.8635415	0.8122654	0.9715609	0.9748469	0.6560518	0.4632934	0.8361643	0.6229619	0.4342523
450	0.0031460	0.7801712	0.8171461	0.9360321	0.9658966	0.5994022	0.4507388	0.8498051	0.6365420	0.5139147
500	0.0082973	0.7902231	0.8649906	1.0136188	0.9357417	0.5915262	0.4925454	0.9318933	0.4919955	0.4988546
550	0.0103310	0.8009993	0.6986581	1.0660675	0.9268044	0.6356033	0.4859764	0.8706065	0.5590643	0.5236581
600	0.0087230	0.8321472	0.6218177	1.0316264	0.9380267	0.6671387	0.4853607	0.8518527	0.5375700	0.5389626
650	0.0219777	0.8176259	0.5261886	0.9800998	0.9725919	0.5570149	0.5486254	0.9439998	0.5885662	0.4216344
700	0.0226290	0.8143407	0.4559050	1.0138655	0.9965934	0.5205816	0.5696004	0.8395682	0.5982438	0.3916979
