YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.4755440	0.5131752	0.6947723	0.1405580	0.2833768	0.8830759	0.2487842	0.3642440	0.1914176	1.0000000
0.3885460	0.2565877	0.6948128	0.1405609	0.2834064	0.8830798	0.2487841	0.3642436	0.1914176	1.0000000
0.9537544	0.4604851	0.4854987	0.3830203	0.5514496	0.8496318	0.1541583	0.4659938	0.1883834	1.0000000
0.9511639	0.5168521	0.6945761	0.0702609	0.2833473	0.8857470	0.2519900	0.3616740	0.1915327	1.0000000
0.9711310	0.5732533	0.5318054	0.1033259	0.2378058	0.9224569	0.2512014	0.3623291	0.1915047	1.0000000
0.0922911	0.0537243	0.8286900	0.1922202	0.3419884	0.4271831	0.2413447	0.3704224	0.1911540	1.0000000
0.1335586	0.1636324	0.7248630	0.1496096	0.2939294	0.6368890	0.1239310	0.3649821	0.1913846	1.0000000
0.9232056	0.6614921	0.6896082	0.1390904	0.2817308	0.9864028	0.6571565	0.1791453	0.2209382	1.0000000
0.9419909	0.4862027	0.6959063	0.1408727	0.2837798	0.8657992	0.2317334	0.3784487	0.0954093	1.0000000
0.9620254	0.5734042	0.6925239	0.1399159	0.2826569	0.9228415	0.3048412	0.3248344	0.3570751	0.5000000
