YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.4015458	0.6017208	0.3719216	0.2770862	0.2432946	0.3158054	0.3006478	0.6632120	0.8703491	1.1172251
0.9611775	0.4619549	0.3004600	0.2275515	0.1533503	0.3560501	0.5282666	0.4241102	0.9262594	1.0076817
0.4716975	0.9273418	0.2236508	0.1710041	0.1621731	0.3251357	0.3674371	0.6205059	0.9466453	0.9811631
0.5532781	0.9292811	0.1880430	0.1412275	0.2825420	0.3982779	0.3439275	0.6457981	0.8822269	1.0847573
0.5332872	0.9568087	0.2254686	0.1043553	0.0727901	0.3159920	0.3635739	0.5974143	0.9045482	1.0480860
0.5690466	0.8913957	0.2154225	0.1043646	0.0354499	0.1695395	0.3538545	0.5319846	0.9125020	1.0679512
0.7832008	0.6187873	0.2512887	0.1167909	0.1160482	0.3856157	0.1936957	0.5200781	0.8308659	0.9516299
0.7712759	0.7230634	0.2986589	0.1222067	0.0951059	0.3062132	0.5863533	0.2322969	0.8698068	1.0145819
1.0405202	0.2116638	0.7754537	0.3768225	0.2372092	0.3935183	0.4006746	0.4433400	0.3951218	1.0853035
1.0537550	0.3154678	0.3774950	0.1309409	0.0768412	0.2533680	0.4716875	0.4408712	0.6595134	0.4795254
