YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0857776	0.9998877	0.0008472	0.7732016	0.5865270	0.8851277	0.8158041	0.9465143	0.6460861	0.4498955
0.0879744	0.8730052	0.0332420	0.8305052	0.5892057	0.8731584	0.7753688	1.0000000	0.6481093	1.0000000
0.1084899	0.5958857	0.0003058	0.9514754	0.7678932	0.8639841	0.8268533	1.0000000	0.8734326	0.9096081
0.0033559	0.9414857	0.0328820	0.9877074	0.8852340	0.7506849	0.8633220	1.0000000	0.8769202	0.9045539
0.0874056	0.8977072	0.0328766	0.9922141	0.9760407	0.8301152	0.8904818	1.0000000	0.7041115	0.9467355
0.0857809	0.9999364	0.0003705	0.9317086	0.8071226	0.8753120	0.8058969	1.0000000	0.6854005	1.0000000
0.0108145	0.6730729	0.0003066	0.9614237	0.7370724	0.8080660	0.7753766	1.0000000	0.7752302	0.9430666
0.0869645	0.9203895	0.0002729	0.9452929	0.8773078	0.6594219	0.5303396	0.6615604	0.7781875	1.0000000
0.0019419	0.9409116	0.0330948	0.8764205	0.6332995	0.8544589	0.9337926	1.0000000	0.6663000	0.6656974
0.0857780	0.9999759	0.0002244	0.9829419	0.9026316	0.7130727	0.6952821	0.7187638	0.8088354	1.0000000
