YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.7283946	0.5990286	0.6276126	0.5751667	0.3048071	0.0261628	0.5999929	0.6850647	0.1431318	0.7624296
0.6913218	0.5908944	0.3452955	0.0943434	0.0180313	0.0240741	0.6191399	0.2676598	0.5504109	0.4607470
0.6762161	0.6363267	0.4419773	0.3100178	0.1845741	0.0755018	0.4921108	0.7202767	0.2101509	0.7493210
0.6733795	0.6376165	0.5968120	0.6303247	0.3651792	0.0596752	0.5363929	0.7199897	0.2426709	0.6571020
0.5339954	0.8410971	0.1865106	0.1181392	0.0303135	0.0048755	0.7295348	0.5715418	0.2077642	0.3179687
0.6653095	0.5833315	0.3592483	0.1262071	0.0996774	0.0324202	0.6429627	0.5832399	0.3290585	0.6583961
0.6143738	0.7463588	0.6982241	0.6830975	0.6218938	0.1284175	0.7035680	0.6321767	0.2860389	0.7131388
0.5855627	0.5652512	0.1562957	0.0399677	0.0992174	0.0719504	0.6823710	0.6594702	0.2883311	0.4731764
0.5871530	0.6447494	0.5239085	0.6335851	0.6256558	0.3358242	0.1984469	0.5807662	0.3086532	0.7582460
0.6410398	0.4689436	0.4634592	0.4907167	0.2984806	0.1582250	0.2920023	0.4309432	0.2977993	0.6854639
