"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W

0	0.1097798	0.4524170	0.6311477	0.5637570	0.9486375	0.1302925	0.1014203	0.0761068	0.0581713	0.2593719
50	0.1149509	0.5538564	0.6311461	0.5637089	0.9487092	0.1302610	0.1014107	0.0767244	0.1737279	0.2593457
100	0.1494535	0.6301022	0.6311355	0.5636665	0.9487512	0.1303294	0.1016295	0.0877027	0.3010329	0.2592988
150	0.2020074	0.6570648	0.6311221	0.5636378	0.9487248	0.1306493	0.1033943	0.1212684	0.3707281	0.2592495
200	0.2449533	0.6649186	0.6311109	0.5636397	0.9485430	0.1314649	0.1089865	0.1669503	0.4024510	0.2592124
250	0.2705798	0.6670055	0.6311089	0.5637093	0.9480236	0.1333882	0.1191899	0.2081038	0.4157090	0.2592090
300	0.2833525	0.6675352	0.6311286	0.5639271	0.9467974	0.1370644	0.1318341	0.2375048	0.4209932	0.2592818
350	0.2890415	0.6676870	0.6311955	0.5644432	0.9444058	0.1424849	0.1437116	0.2557034	0.4230535	0.2595198
400	0.2914099	0.6677899	0.6313534	0.5654525	0.9406085	0.1488350	0.1528678	0.2659474	0.4238868	0.2600804
450	0.2924005	0.6679633	0.6316587	0.5670979	0.9356216	0.1550091	0.1589941	0.2713640	0.4243191	0.2611687
500	0.2929186	0.6682810	0.6321588	0.5693684	0.9300649	0.1601907	0.1626996	0.2741538	0.4247106	0.2629562
550	0.2795949	0.5678371	0.6328653	0.5720725	0.9246775	0.1640450	0.1645217	0.2663527	0.3100352	0.2654817
600	0.2249459	0.4929574	0.6337401	0.5749050	0.9200847	0.1660048	0.1601690	0.2194929	0.1840637	0.2686020
650	0.1715996	0.4675526	0.6347027	0.5775233	0.9170639	0.1644468	0.1457351	0.1625024	0.1160061	0.2720218
700	0.1392926	0.4613877	0.6356423	0.5795051	0.9167692	0.1588495	0.1287168	0.1216442	0.0861500	0.2753403
750	0.1236216	0.4609703	0.6364209	0.5803361	0.9197785	0.1511788	0.1160116	0.0983317	0.0748380	0.2780386
800	0.1170666	0.4618724	0.6368901	0.5796798	0.9252343	0.1439583	0.1085670	0.0865081	0.0713332	0.2795208
850	0.1147046	0.4626812	0.6369433	0.5776779	0.9314557	0.1384986	0.1047495	0.0809204	0.0705751	0.2793593
900	0.1140086	0.4629070	0.6365692	0.5748917	0.9370440	0.1349125	0.1029323	0.0784028	0.0703019	0.2775729
950	0.1138192	0.4624270	0.6358599	0.5719766	0.9413477	0.1327724	0.1021038	0.0773027	0.0696137	0.2746405
1000	0.1136507	0.4613382	0.6349694	0.5694080	0.9443220	0.1315793	0.1017356	0.0768213	0.0683264	0.2712479

0	0.1097798	0.4524170	0.6311477	0.5637570	0.9486375	0.1302925	0.1014203	0.0761068	0.0581713	0.2593719
50	0.2691707	0.4562837	0.6454564	0.5709861	0.8215484	0.1304015	0.1014111	0.0768147	0.1852016	0.3990738
100	0.4367904	0.4767717	0.6663039	0.6137914	0.6813658	0.1308083	0.1016925	0.0919493	0.3555825	0.5242589
150	0.5255207	0.5089794	0.6891657	0.6773680	0.6047864	0.1312880	0.1045579	0.1496141	0.4863845	0.5985794
200	0.5680027	0.5466224	0.7130856	0.7327882	0.5700375	0.1325729	0.1167710	0.2455100	0.5758526	0.6564310
250	0.5917731	0.5846546	0.7337989	0.7697558	0.5551532	0.1377130	0.1459569	0.3495075	0.6371307	0.7040245
300	0.6099133	0.6175213	0.7489100	0.7910475	0.5473041	0.1530225	0.1907697	0.4399586	0.6803490	0.7387651
350	0.6264088	0.6422426	0.7589905	0.8029600	0.5383964	0.1843486	0.2411328	0.5099981	0.7106386	0.7612057
400	0.6411683	0.6593632	0.7663165	0.8114078	0.5219671	0.2307384	0.2872207	0.5607394	0.7310609	0.7748332
450	0.6534246	0.6717434	0.7739611	0.8211575	0.4940351	0.2843165	0.3241932	0.5958927	0.7442867	0.7838037
500	0.6633232	0.6833426	0.7854112	0.8352359	0.4558441	0.3359765	0.3514387	0.6194506	0.7528567	0.7917242
550	0.5508573	0.6961080	0.7885931	0.8483759	0.5079138	0.3797235	0.3702915	0.6312400	0.7019853	0.7350018
600	0.4349863	0.6984613	0.7708833	0.8386482	0.5652298	0.4114519	0.3795472	0.6143623	0.6210182	0.6871605
650	0.3742911	0.6824922	0.7481978	0.8173256	0.5795781	0.4252895	0.3732590	0.5661808	0.5536851	0.6578814
700	0.3355867	0.6569874	0.7320719	0.8022024	0.5773414	0.4174060	0.3495504	0.5023820	0.5042184	0.6320041
750	0.3011949	0.6337729	0.7231965	0.7953919	0.5811287	0.3903624	0.3141065	0.4385563	0.4664765	0.6114210
800	0.2706249	0.6175805	0.7177744	0.7903546	0.6012794	0.3514627	0.2754500	0.3825174	0.4372402	0.5980737
850	0.2466684	0.6064370	0.7120588	0.7803845	0.6386064	0.3088462	0.2400451	0.3367186	0.4155626	0.5879233
900	0.2291035	0.5962440	0.7046017	0.7621920	0.6877871	0.2689178	0.2110060	0.3011245	0.3988047	0.5743061
950	0.2153170	0.5844561	0.6959553	0.7363703	0.7407258	0.2353590	0.1888447	0.2737720	0.3819541	0.5520611
1000	0.2027620	0.5708621	0.6871399	0.7062766	0.7899647	0.2092711	0.1724304	0.2509632	0.3596273	0.5196858

