"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.5560617	0.4961478	0.6360006	0.0999240	0.6546617	0.0228547	0.8242426	0.0064880	0.0214157	0.9570516
50	0.5095920	0.5327650	0.7484442	0.0555760	0.9328559	0.0488443	0.5211980	0.0010968	0.0100572	0.7555156
100	0.4611241	0.4918139	0.8538154	0.0181534	0.6075611	0.0172203	0.2422300	0.0033869	0.0110174	0.6959107
150	0.4500609	0.6701931	0.8042325	0.0648583	0.7686488	0.0341839	0.2352811	0.0124498	0.0031660	0.7508024
200	0.6330286	0.6222327	0.8833745	0.0870758	0.7238921	0.0211525	0.2039008	0.0173400	0.0264582	0.7988363
250	0.5056551	0.5907872	0.7057534	0.0866322	0.7396844	0.0190192	0.2309502	0.0005112	0.0121575	0.6435182
300	0.5783829	0.7298273	0.6159936	0.1144009	0.6173712	0.0350097	0.1448421	0.0028561	0.0133309	0.8535834
350	0.5660862	0.6381490	0.8129562	0.1017537	0.6101805	0.0714554	0.1643374	0.0031347	0.0030623	0.7442788
400	0.5857676	0.6239287	0.6797149	0.0969643	0.6073545	0.0398404	0.2578490	0.0030655	0.0074677	0.7001461
450	0.4965204	0.6120732	0.5472870	0.0675977	0.7043899	0.0443329	0.2197943	0.0065096	0.0059998	0.6730602
500	0.3850378	0.5360580	0.7148929	0.0544378	0.5650959	0.0235744	0.1820338	0.0127566	0.0164437	0.8405112
550	0.5403839	0.6389586	0.6893451	0.1607759	0.7299594	0.0045625	0.5139160	0.0006251	0.0085471	0.7742075
600	0.5997871	0.6092004	0.6350782	0.1918557	0.7702678	0.0242950	0.7370923	0.0014538	0.0078573	0.8715524
650	0.5704566	0.7119989	0.5813773	0.1130118	0.6794747	0.0244569	0.7852837	0.0022706	0.0043078	0.7916192
700	0.5041639	0.6838603	0.7374869	0.0625810	0.7078262	0.0162279	0.6991489	0.0010027	0.0114906	0.8925360
750	0.5702414	0.5504042	0.7529831	0.0895988	0.7203103	0.0386976	0.7289690	0.0007134	0.0081419	0.7338018
800	0.5572993	0.5523016	0.6284159	0.0949960	0.7877445	0.0130476	0.7291751	0.0068206	0.0076677	0.9000022
850	0.4930230	0.5534104	0.6143914	0.0623187	0.8979841	0.0436446	0.6923166	0.0045501	0.0125109	0.8713884
900	0.4873356	0.5943048	0.8032058	0.1341979	0.6474218	0.0435863	0.7262952	0.0002469	0.0078607	0.6231008
950	0.4007880	0.6124284	0.6619579	0.0862900	0.6796573	0.0371172	0.7731315	0.0003060	0.0096134	0.8652202
1000	0.4768167	0.3984603	0.7310704	0.1224499	0.7132276	0.0528426	0.7642323	0.0080035	0.0436456	0.8288684

0	0.6257655	0.7120944	0.5829198	0.0796602	0.6901275	0.0357672	0.7727819	0.0077467	0.0220517	0.7713808
50	0.5552598	0.7171067	0.6305449	0.1219041	0.9791699	0.0256580	0.4948304	0.0189386	0.0059244	0.7288637
100	0.4342631	0.7142492	0.6320503	0.1312250	0.8789567	0.0316114	0.2200847	0.0004788	0.0030980	0.7291457
150	0.6146759	0.7143935	0.5571335	0.2165455	0.8094948	0.0269920	0.2526690	0.0132301	0.0074327	0.7070560
