YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.5559334	0.5970280	0.9447936	0.0389111	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.0311611	0.0000003	0.5970280	0.9447936	0.0389111	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.5255270	0.9999993	0.0000000	0.9448149	0.0388904	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.3636314	0.7585332	0.4250853	0.0000000	0.0389019	0.0134989	0.0418779	1.0000000	1.0000000	1.0000000
0.2163313	0.5518954	0.6010105	0.9866916	0.0000001	0.0134845	0.0418779	1.0000000	1.0000000	1.0000000
0.2189660	0.5559299	0.5970316	0.9448314	0.0388748	0.0000003	0.0418779	1.0000000	1.0000000	1.0000000
0.2189678	0.5559332	0.5970282	0.9447956	0.0389092	0.0134845	0.0000004	1.0000000	1.0000000	1.0000000
0.2429899	0.5907386	0.5644136	0.6590660	0.5427692	0.9999802	1.0000000	0.0000000	1.0000000	1.0000000
0.5180885	0.9878281	0.1469628	0.3873303	0.0388909	0.0134989	0.0418779	1.0000000	0.0000001	1.0000000
0.3636326	0.7585345	0.4250852	0.9448030	0.0389019	0.0134989	0.0418779	1.0000000	1.0000000	0.0000001
