"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.6183978	0.7299310	0.7330209	0.1327284	0.0405306	0.7694352	0.5010460	0.2590046	0.4018007	0.4692165
50	0.6655082	0.7758952	0.6857208	0.1462435	0.0265688	0.5461314	0.1579995	0.3760893	0.1600898	0.3446641
100	0.7991986	0.8517146	0.6945640	0.1860871	0.0914210	0.6842994	0.1259676	0.3849081	0.1244375	0.4509507
150	0.7073438	0.7716143	0.7002329	0.1686384	0.0986810	0.6816678	0.0843688	0.4454457	0.1490995	0.3935294
200	0.6465181	0.7620898	0.5195442	0.1985421	0.0928368	0.5988547	0.1067480	0.4225141	0.2101566	0.3066685
250	0.6293508	0.7038158	0.5941856	0.1527877	0.0663930	0.5904295	0.0764921	0.3912046	0.2444072	0.4567558
300	0.5396712	0.6701891	0.6470992	0.1378260	0.0857675	0.5614504	0.0767805	0.4289220	0.2274979	0.3748731
350	0.6451820	0.6921247	0.6561177	0.2007341	0.1131454	0.6997519	0.1001909	0.5062730	0.2094983	0.4003844
400	0.5787361	0.6833103	0.6977715	0.1534117	0.1002460	0.7936747	0.0686004	0.5009445	0.1527954	0.4384723
450	0.7073061	0.6109785	0.7041295	0.1726043	0.1456584	0.6603922	0.1151277	0.4188853	0.1771683	0.3847897
500	0.7098298	0.6706264	0.7254081	0.1688228	0.0778997	0.6406298	0.0677443	0.4447156	0.3410867	0.3238675
550	0.6783247	0.6628470	0.6871056	0.2234870	0.0383689	0.6460163	0.4804176	0.4293617	0.5801014	0.5109817
600	0.5759385	0.7396698	0.6035533	0.1583942	0.0250011	0.6141865	0.5112460	0.3845800	0.3859179	0.4919412
650	0.7089301	0.6885309	0.7270633	0.1828808	0.0283516	0.6200224	0.4191138	0.3433697	0.4198516	0.5298475
700	0.6916190	0.6702666	0.7546273	0.1760925	0.0316515	0.7205247	0.4560909	0.2408606	0.3908758	0.4259253
750	0.5814940	0.6876112	0.4430324	0.1512247	0.0395614	0.6917084	0.4949776	0.3048959	0.5029464	0.4688702
800	0.7446070	0.6193777	0.6435840	0.2138117	0.0270499	0.6565894	0.5215488	0.3358672	0.4091161	0.4184357
850	0.6702516	0.8113960	0.6680279	0.2243039	0.0487117	0.7458623	0.4570134	0.2501889	0.3211878	0.4303874
900	0.5670114	0.7091473	0.5469571	0.1486458	0.0521112	0.6441718	0.5190843	0.3410830	0.3369775	0.3843566
950	0.6171054	0.7565510	0.5186041	0.1844893	0.0497179	0.7343077	0.4170952	0.3496189	0.3643112	0.4454942
1000	0.6501607	0.6422000	0.8965240	0.1625972	0.0467201	0.6302540	0.4588155	0.3985938	0.3686895	0.5283849

0	0.5757822	0.7093551	0.7304382	0.2219646	0.0593609	0.6527337	0.5181120	0.2961325	0.4333941	0.4594401
50	0.7661817	0.6259837	0.6636368	0.1434210	0.0462581	0.6133284	0.4819913	0.3904279	0.2560714	0.3560466
100	0.7215622	0.6480094	0.7115450	0.1720925	0.0655299	0.7680484	0.6072891	0.6393404	0.2749115	0.4549996
150	0.6487938	0.7515090	0.7522208	0.1491992	0.0695675	0.7299630	0.4902156	0.3582613	0.2104532	0.6484549
200	0.6068364	0.7704463	0.6094447	0.1253448	0.1177665	0.7939726	0.4671118	0.3486208	0.2036747	0.5021960
250	0.5961476	0.6841489	0.7065365	0.1349568	0.1466852	0.6255436	0.4230235	0.4559276	0.1607230	0.4808197
300	0.6138619	0.6167179	0.7789246	0.1261662	0.1378912	0.7531486	0.3181862	0.4221690	0.1516612	0.4357655
350	0.7594028	0.8176612	0.7513793	0.1160749	0.2348421	0.6936206	0.3554815	0.4958823	0.1519889	0.4260829
400	0.7093584	0.7790503	0.7308717	0.1239964	0.2634000	0.7408444	0.3523698	0.4229848	0.2059859	0.5536297
450	0.6618348	0.6612086	0.7199205	0.1716802	0.1747480	0.7863440	0.2462395	0.4259592	0.2410263	0.3810123
500	0.7133898	0.6935688	0.6068364	0.1415315	0.0817353	0.6322131	0.4042224	0.4745148	0.3063130	0.4145378
550	0.6687163	0.7858736	0.5285834	0.1640731	0.0794268	0.5649542	0.4568619	0.4100018	0.3968817	0.4683422
600	0.7563654	0.6307634	0.6239055	0.1766509	0.0674136	0.5137143	0.4489159	0.3909203	0.3550918	0.3900498
650	0.6880751	0.5930352	0.5929109	0.1994235	0.0570252	0.6715362	0.5090512	0.3983733	0.4260169	0.5043168
700	0.6661640	0.6918275	0.5618222	0.1605380	0.0568928	0.6731608	0.4090569	0.3250192	0.4127493	0.4620130
750	0.7155343	0.6594132	0.5800012	0.1849091	0.0275986	0.5558356	0.5743343	0.4504593	0.3234297	0.4596890
800	0.6722911	0.6689694	0.5814221	0.1860250	0.0304401	0.6695795	0.4112081	0.2757190	0.3420230	0.4337387
850	0.6064569	0.7271409	0.6269289	0.1690468	0.0322220	0.7675089	0.4768056	0.3439142	0.3955109	0.4139936
900	0.6252686	0.6843436	0.7455360	0.1423998	0.0079781	0.6765931	0.4738063	0.2544507	0.3458743	0.4883204
950	0.6723646	0.6582062	0.6344128	0.1904000	0.0216697	0.6329087	0.4412630	0.3710534	0.4440585	0.3649681
1000	0.6900798	0.6843530	0.5021822	0.1348848	0.0253259	0.6241596	0.5302827	0.3997102	0.4248960	0.4441432

0	0.6650168	0.7175809	0.6440973	0.1481123	0.0526093	0.6642917	0.4244104	0.4225750	0.3505227	0.3858757
50	0.7549342	0.8159837	0.6074982	0.0736809	0.0302581	0.7435121	0.5488470	0.2817321	0.3320827	0.4564006
100	0.7422521	0.7531839	0.5899317	0.0463576	0.0304363	0.7341956	0.5571175	0.2743059	0.5390333	0.1909015
150	0.6532782	0.7933110	0.6368894	0.0965239	0.0232189	0.8272571	0.5098317	0.1820218	0.5861434	0.3750420
200	0.7109736	0.7301042	0.6486453	0.0738427	0.0176428	0.6035597	0.6567063	0.1666050	0.5363053	0.2436969
250	0.6806733	0.7523708	0.6513944	0.0637826	0.0057056	0.7272585	0.6736508	0.1589173	0.4862767	0.3073925
300	0.6109932	0.6252726	0.6622036	0.0906270	0.0244912	0.7626212	0.6730533	0.2108567	0.6792126	0.3027915
350	0.7065352	0.6260030	0.6582024	0.0945439	0.0031887	0.8057463	0.7171077	0.1939943	0.5526204	0.3083299
400	0.7188185	0.7074093	0.6271775	0.0873929	0.0102880	0.6328527	0.7201813	0.1739857	0.6101136	0.4063938
450	0.6732837	0.8562540	0.6940385	0.0578869	0.0124047	0.6436596	0.6535701	0.2333678	0.4050104	0.3209179
500	0.6288223	0.7251407	0.6961602	0.0475977	0.0095853	0.5968662	0.6478532	0.2168939	0.4881773	0.2299425
550	0.8222633	0.6566395	0.6751215	0.2456590	0.0117810	0.6246402	0.5602438	0.3106293	0.5585083	0.2822120
600	0.6847192	0.5889494	0.6114205	0.1922896	0.0241489	0.5962754	0.6292261	0.3424703	0.5859568	0.3766218
650	0.6565752	0.6844007	0.6989858	0.2229157	0.0261890	0.7117903	0.4364378	0.3254210	0.4127805	0.4092112
700	0.7064603	0.6586759	0.7039548	0.1786433	0.0168258	0.6507833	0.5829168	0.2268951	0.3722922	0.5605178
750	0.7174499	0.6611678	0.6573824	0.1823772	0.0451195	0.5953920	0.5815063	0.3450243	0.2923807	0.4715433
800	0.6988618	0.7822771	0.6687104	0.1818867	0.0692824	0.6710859	0.5984987	0.3793112	0.3539923	0.4811310
850	0.7302715	0.6358123	0.5792128	0.1330474	0.0631305	0.7944624	0.4787716	0.2955268	0.2750328	0.5258800
900	0.7230678	0.5719544	0.8226810	0.1465401	0.0367121	0.6687690	0.4128880	0.3299439	0.2595932	0.3947534
950	0.6960507	0.7626963	0.5585602	0.1671119	0.0603282	0.6250895	0.4080390	0.3410181	0.4289233	0.4259983
1000	0.6339746	0.6685921	0.6662713	0.2174913	0.0372248	0.7734994	0.5424414	0.2983849	0.4766080	0.5240746

0	0.7624990	0.7786089	0.6452173	0.1773578	0.0635358	0.6561319	0.5291221	0.2933604	0.3615596	0.5474658
50	0.6972438	0.5748468	0.5714588	0.1703432	0.0116738	0.6929636	0.1395062	0.2876216	0.2862677	0.4858504
100	0.6434678	0.5555236	0.5382374	0.1840850	0.0020498	0.6329131	0.0677845	0.2586703	0.2622924	0.4722163
150	0.7379566	0.6210449	0.6713406	0.1409372	0.0058235	0.6448129	0.0941996	0.3261539	0.2220970	0.4770797
200	0.6116819	0.5860057	0.6754819	0.1725240	0.0078964	0.5965501	0.0609869	0.2547890	0.2456414	0.5055775
250	0.7948437	0.6961046	0.6260784	0.1828419	0.0090293	0.5936289	0.0843661	0.3017838	0.2430604	0.5354567
300	0.7820039	0.6247219	0.5558635	0.1476635	0.0055155	0.6132835	0.0719034	0.3487034	0.2289857	0.5198800
350	0.7234183	0.5991684	0.6739199	0.1576148	0.0113624	0.6431156	0.0818261	0.2506728	0.2358809	0.3803644
400	0.6570111	0.5884755	0.5260060	0.1316091	0.0039437	0.6686593	0.0635237	0.2173502	0.2646477	0.3143396
450	0.6924219	0.6933257	0.6233037	0.1480788	0.0090117	0.6998180	0.0787702	0.2783060	0.2766345	0.3760999
500	0.6927665	0.5787035	0.5653601	0.1651249	0.0058430	0.6284725	0.0548011	0.2913728	0.3002735	0.4397670
550	0.6709548	0.6486519	0.6963836	0.1986283	0.0471793	0.6636051	0.4653307	0.2878584	0.3200254	0.4259261
600	0.6942301	0.6987269	0.6834148	0.1463474	0.0623227	0.5993438	0.5707251	0.3564901	0.3760657	0.5749117
650	0.6611115	0.6401291	0.6237850	0.1782837	0.0266771	0.7135266	0.4867994	0.3983907	0.4079571	0.4535248
