YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1361449	0.4287551	0.6681055	0.9999973	0.5496580	0.6601334	0.1496400	0.0772318	0.0473786	0.7033185
0.1769899	0.5055737	0.6642764	0.9940901	0.0001160	0.0116458	0.6557170	0.8015851	0.9846370	0.0879521
0.1382340	0.5675257	0.5998402	0.9039186	0.6033826	0.9886076	0.0623954	0.1620115	0.0139793	0.9972518
0.2814491	0.4150575	0.5969218	0.9001843	0.5639488	0.9136623	0.0001780	0.0099478	0.0193488	1.0000000
0.1798001	0.5020703	0.6680935	0.9999787	0.8495890	0.5420357	0.2011686	0.1355383	0.0151966	1.0000000
0.1653534	0.5020576	0.6681073	1.0000000	0.7085271	0.7569331	0.0016018	0.0280233	0.0434314	1.0000000
0.5688513	0.2605211	0.7690088	0.9689280	0.0006011	0.0251082	0.5347968	0.5504281	0.0650881	1.0000000
0.2685901	0.4232964	0.6681050	0.9999965	0.4260371	0.5310579	0.1143442	0.2214904	0.1035281	0.7022039
0.3993069	0.3297047	0.8334847	0.7846723	0.7040235	0.9585623	0.0050594	0.0482825	0.0670577	1.0000000
0.0608054	0.8526636	0.3276528	0.6189867	0.0013264	0.0363153	0.7217591	0.4439471	0.0540647	0.6268177
