YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.2976582	0.0457121	0.2399017	0.5974881	0.5584911	0.2749719	0.1794656	0.7803659	0.2964447	0.6329408
0.8549262	0.0084928	0.2328274	0.7006782	0.4209525	0.3050680	0.1233370	0.5719057	0.3775873	0.6804485
0.8139132	0.0185748	0.0947843	0.6085585	0.4354094	0.3817699	0.1619891	0.7511438	0.3755856	0.6201111
0.1071716	0.1919220	0.5491002	0.2734768	0.3538172	0.5020529	0.1889973	0.5966693	0.3067890	0.8190949
0.4058526	0.1164673	0.3697919	0.2986181	0.2549221	0.2792950	0.1345489	0.5821342	0.2525114	0.8950030
0.7300732	0.0174774	0.2572389	0.5647188	0.5531706	0.1832610	0.1470121	0.7723228	0.3220373	0.7308844
0.6846560	0.0530759	0.3246039	0.3695594	0.2485710	0.4359798	0.0745164	0.6500002	0.2024776	0.7121948
0.7589066	0.0151634	0.2458510	0.6257574	0.5705630	0.2256674	0.3122957	0.3073267	0.3467426	0.8049748
0.8949409	0.0523753	0.3074489	0.5906464	0.4365913	0.3815992	0.1234463	0.7848154	0.1710778	0.6886772
0.8998562	0.0372654	0.2819259	0.6273211	0.6306529	0.2368706	0.3101372	0.3254253	0.7429991	0.4078801
