YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000009	0.8252063	0.4562680	0.9462338	0.3237396	0.5489567	1.0000000	0.7530689	0.5595041	1.0000000
0.0580314	0.0000000	0.4560584	0.9464023	0.3236343	0.5488052	0.9997556	0.7531207	0.5595041	1.0000000
0.6808916	1.0000000	0.0000001	0.9477050	0.3206000	0.5397369	0.9835113	1.0000000	0.5595041	1.0000000
0.1818615	0.3719164	1.0000000	0.0000000	0.3226541	0.5459629	0.9946912	0.7276649	0.5595041	1.0000000
0.5836074	0.8452502	0.4319845	0.9999998	0.0000004	0.5293317	0.9651933	0.7571178	0.5595041	1.0000000
0.5837376	0.8452867	0.4319807	0.9999983	0.0094843	0.0000000	0.9651831	0.7571267	0.5595041	1.0000000
0.5551965	0.8064418	0.4776317	0.9022359	0.4020544	0.0422613	0.0000000	0.7499421	0.5595041	1.0000000
0.5591686	0.8119876	0.4709177	0.9163615	0.3795052	0.1381155	0.3687800	0.0000000	0.5595041	1.0000000
0.5724862	0.8299545	0.4500811	0.9601474	0.2910628	0.4513014	0.8384840	0.4322545	0.0000000	1.0000000
0.5698750	0.8256648	0.4556765	0.9475264	0.3209696	0.5408112	0.9854160	1.0000000	0.0276272	0.0000001
