YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0346714	0.0065758	0.8164178	0.4833089	0.7752088	1.0227393	0.1089928	0.4737726	0.5740068	0.4034171
0.1625022	0.0009357	0.8694638	0.4723643	0.8621364	0.9997377	0.1145942	0.3888158	0.6267614	0.4049431
0.2992061	0.0449783	0.4095432	0.4808918	0.7524127	1.1185382	0.1449085	0.3779101	0.7824193	0.7322075
0.1195600	0.0066625	0.9584699	0.2844759	0.7945107	0.8714955	0.0849013	0.4245580	0.5587142	0.3931445
0.9809152	0.5549451	0.1480086	0.8841900	0.3789776	0.9895585	0.1332702	0.2970241	0.9928504	0.8964103
0.1144748	0.0096749	0.9223121	0.4862982	0.7846613	0.5101741	0.0872665	0.4701240	0.6447769	0.4277394
0.1435024	0.0091232	0.8429514	0.4782153	0.7370334	1.1415743	0.0389133	0.3467751	0.7093877	0.4926920
0.1045561	0.0081279	1.0317980	0.4079150	0.9199758	1.0626062	0.1305011	0.2089614	0.6429292	0.3715167
0.1480758	0.0102041	0.7547271	0.5591091	0.7260559	0.8830019	0.0553917	0.5322108	0.3480833	0.5561877
0.1217469	0.0045695	0.7112374	0.5529419	0.6869863	1.1171791	0.1070412	0.5680909	0.3724298	0.2727529
