YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.8066792	0.1406141	0.0087703	0.8043893	0.7261905	0.3386424	0.9063150	1.0221353	0.9280517	0.8351609
0.3310325	0.5053212	0.0066184	0.8931160	0.7553785	0.4473720	0.7947988	0.8726578	0.8627263	1.0650876
0.7136440	0.0009003	0.0072232	0.6815544	0.7523512	0.2404581	0.8353506	0.8349450	1.0628459	0.7752057
0.3866897	0.2769342	0.0050811	0.6997575	0.6944709	0.5326750	0.8685632	0.9760764	0.9434589	1.0578935
0.2753085	0.3167224	0.0059308	0.7907744	0.7105887	0.0030852	0.0926026	0.2613805	0.8917517	0.7231188
0.5497897	0.0187402	0.0042273	1.0411835	0.9481632	0.2923321	0.9709569	1.0041457	0.9762119	0.8795463
0.9646466	0.0007850	0.0073664	1.0205830	1.0423851	0.9436419	0.7757264	0.7363240	1.0605176	0.9163711
0.5141432	0.3534437	0.0004052	1.0949971	0.8552260	0.3160675	0.8516364	1.0223819	1.0406040	1.0405740
0.8060270	0.0004730	0.0013941	0.7405198	1.0398847	0.3419989	0.8781562	1.0634186	0.8843760	0.9984120
0.8869580	0.0044991	0.0017550	0.8720666	0.9363892	0.4180187	1.0749286	1.0307157	1.0042348	0.8876642
