YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.4721195	0.6773145	0.0314926	0.2239534	0.2440902	0.3786363	0.6123248	0.5959569	0.7812786	1.0000000
0.4004324	0.7334831	0.3147341	0.1175328	0.1999622	0.0852406	0.5607404	0.7545368	0.8432799	1.0000000
0.3482626	0.5555133	0.5979061	0.5219973	0.2852697	0.0766672	0.6779459	0.8135024	0.7292414	0.7363767
0.8423122	0.4140303	0.6622742	0.6913727	0.4303066	0.5154430	0.5250432	0.7346389	0.5752928	0.7501776
0.6953531	0.5268856	0.0767545	0.4144318	0.2501281	0.3516466	0.6852713	0.5915969	0.7738182	0.9075693
0.4658996	0.6812700	0.8848220	0.8923145	0.6745765	0.2500303	0.7989074	0.8350468	0.4841061	1.0000000
0.4089268	0.6396132	0.4500907	0.5357928	0.1809619	0.2148140	0.5193079	0.7217694	0.8770338	1.0000000
0.4457832	0.6178129	0.4232238	0.4459246	0.1321927	0.2230413	0.5693236	0.8467252	0.7427982	1.0000000
0.5124336	0.6056621	0.0000000	0.0060205	0.0912568	0.2873708	0.7010179	0.8876021	0.9045391	1.0000000
0.6889298	0.5312117	0.3206749	0.0015589	0.0646282	0.6547711	0.6798856	0.8836603	0.9849555	1.0000000
