YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.0000000	0.1773289	0.1132277	0.6630452	0.0976402	0.1731256	0.0133971	0.0973455	0.0672359	0.7942146
0.6673919	0.0000000	0.4430011	0.1504106	0.8021898	0.7540190	0.0948433	0.4979596	0.0399911	0.8230756
0.7053951	0.1484525	0.0000000	0.1561038	0.8109773	0.5811678	0.1094916	0.4904368	0.0855697	0.6765620
0.6588028	0.1327578	0.4182919	0.0000000	0.7311807	0.5626428	0.1419053	0.4972865	0.0734536	0.7782368
0.7027736	0.0753602	0.4430172	0.7090962	0.0000000	0.8235100	0.2524633	0.0727337	0.0454264	0.7009846
0.6434191	0.6272873	0.0829966	0.8835104	0.0548789	0.0000000	0.3675677	0.0719283	0.0563963	0.6368354
0.8941079	0.3861394	0.1063222	0.7344672	0.0494128	0.0997594	0.0000000	0.0575749	0.1083670	0.5992252
0.5862212	0.0586618	0.4067976	0.2122251	0.7611532	0.6802020	0.3749569	0.0000000	0.0757009	0.7130902
0.8260142	0.0922528	0.2783172	0.2075099	0.6561252	0.4803039	0.0804614	0.4769803	0.0000000	0.6867273
0.6571879	0.1437032	0.3587895	0.2323856	0.6820201	0.6587463	0.3586340	0.0349287	0.7715922	0.0000000
