"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.0188509	0.0463487	0.0343396	0.4117477	0.3695984	0.6745044	0.7272917	0.5734414	0.0550577	0.0887970
50	0.0337401	0.0975006	0.0277756	0.3438108	0.4099384	0.6999362	0.4256472	0.6583599	0.0649783	0.0932916
100	0.0199564	0.0376784	0.1007110	0.1644242	0.3104167	0.4335439	0.1455569	0.6251098	0.0432848	0.0706685
150	0.0548810	0.0679840	0.2032690	0.1338105	0.2675213	0.1727793	0.0826271	0.6551554	0.0561058	0.0456968
200	0.0821822	0.0689115	0.2890869	0.1455268	0.1372088	0.1224272	0.0735327	0.9398057	0.0405939	0.0961961
250	0.1050927	0.1341696	0.3248644	0.1629091	0.0568140	0.0512954	0.0583039	0.7208332	0.0519447	0.1148531
300	0.1459816	0.1884399	0.3009504	0.2114328	0.0579349	0.0538382	0.0437935	0.8416595	0.0350124	0.1544140
350	0.1617685	0.1942212	0.2473364	0.2290538	0.0282342	0.0404913	0.0215371	0.6678081	0.0381632	0.0989572
400	0.2017634	0.1952051	0.1854716	0.2422923	0.0368012	0.0405814	0.0398219	0.6238395	0.0558675	0.1199843
450	0.2263731	0.2336415	0.1811046	0.2721904	0.0688768	0.0350743	0.0366498	0.6273834	0.1025649	0.0877849
500	0.1587694	0.2151432	0.1280293	0.2299330	0.0367933	0.0255621	0.0995524	0.6749097	0.0683031	0.0779163
550	0.1207060	0.1410243	0.0928014	0.3657915	0.0177856	0.0810909	0.5787774	0.7199339	0.0319797	0.0333020
600	0.1217650	0.0910279	0.0848604	0.6174528	0.0239479	0.3426860	0.5672215	0.8390907	0.0408089	0.0712982
650	0.1371764	0.1124147	0.0874690	0.7492799	0.0248438	0.6254391	0.6123775	0.7078982	0.0258912	0.0699081
700	0.0954078	0.1388666	0.0677210	0.6266070	0.1138020	0.6716569	0.7047359	0.7579430	0.0337852	0.0920855
750	0.0991150	0.0486610	0.0361555	0.6374536	0.1056765	0.6930605	0.6856379	0.7712094	0.0290573	0.1166161
800	0.0329506	0.0589386	0.0537766	0.7010193	0.1510407	0.6368880	0.6456865	0.7299572	0.0418968	0.0740966
850	0.0443537	0.0800204	0.0172172	0.6163394	0.1786396	0.6630031	0.6338559	0.8333677	0.0525363	0.1240488
900	0.0268616	0.0592706	0.0267709	0.5184119	0.2275859	0.6056760	0.5715718	0.8764039	0.0597912	0.0746332
950	0.0275086	0.0240473	0.0216922	0.5202775	0.3546188	0.7540997	0.7466121	0.7147216	0.0609149	0.0831315
1000	0.0344681	0.0558024	0.0227488	0.6280921	0.2925135	0.6816737	0.6769605	0.5958949	0.0601286	0.1332830

0	0.0210076	0.0667658	0.0516719	0.3887522	0.4479853	0.7188880	0.8272113	0.5658546	0.0644750	0.0938964
50	0.0351500	0.0363508	0.0355559	0.3010031	0.4509332	0.7210423	0.7871311	0.4546193	0.0407790	0.1002858
100	0.0843555	0.0456094	0.0915348	0.1378921	0.5056007	0.8322840	0.7304242	0.2260198	0.0538535	0.0689195
150	0.0381548	0.1050514	0.2814835	0.0812944	0.4378151	0.7222757	0.6705896	0.2198488	0.0560732	0.0578627
200	0.0230885	0.1047231	0.4712130	0.0336192	0.3877840	0.6965968	0.7873262	0.1570119	0.0239010	0.1315365
250	0.0617233	0.1907985	0.6896233	0.0108605	0.6015556	0.5833442	0.6968127	0.1909277	0.0324561	0.1432503
300	0.2259626	0.3939413	0.6885130	0.0100196	0.4545369	0.7475730	0.8461794	0.1466470	0.0881455	0.1722502
350	0.2729823	0.3290140	0.7861228	0.0048146	0.3939809	0.7189969	0.7060026	0.0727182	0.2074965	0.1848372
400	0.4558647	0.3368491	0.8132819	0.0004163	0.4197603	0.6670852	0.5089397	0.1274007	0.1912651	0.2411861
