YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.6908290	1.0324900	0.9146409	0.0031480	1.0196967	0.0411231	0.0036975	0.9256998	1.0022372	0.0410705
0.6838044	0.9887661	0.9112340	0.0435639	1.0558474	0.0002194	0.0005279	0.9386434	1.0014015	0.0147032
0.6329834	0.8905188	0.9170082	0.0116885	1.0370358	0.0652543	0.0027156	0.9701118	0.9891428	0.0480362
0.7893582	1.1031813	0.8361987	0.9075513	0.9431313	0.0531661	0.0393959	0.8558997	0.3520450	0.5767307
0.6081898	0.9956622	0.5828549	0.9518954	1.1056947	0.0001759	0.0081422	0.8827938	0.7363467	0.3656765
0.7728224	1.0371940	0.9266177	0.0128902	0.9774428	0.0002821	0.0469568	1.0183155	0.9477674	0.0580677
0.7044598	1.0023122	1.0098688	0.0055916	0.9615973	0.0012839	0.0572880	0.9380335	0.7308349	0.0164601
0.6999523	0.9962528	0.8298596	0.0022610	0.9894972	0.0634587	0.0416767	0.9835447	0.7663017	0.0243526
0.7817180	1.0135211	0.6918002	0.9558314	0.9972856	0.0028158	0.0585728	0.8934788	0.5447142	0.5238663
0.9235107	0.9804186	0.7717760	0.9894697	1.0289744	0.0006380	0.0642500	0.9392080	0.9000695	0.3911681
