YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.0000062	0.3250217	0.1528548	0.4501760	0.9838376	0.0619292	0.0494192	0.6079170	1.0000000	0.9305622
0.3952945	0.0000012	0.1528606	0.4501799	0.9838359	0.0619313	0.0494192	0.6079170	1.0000000	0.9305309
0.3904425	0.0186373	0.0000054	0.4446847	0.9882523	0.0496989	0.0494192	0.6079170	1.0000000	0.9997992
0.0202107	0.0472303	0.0334434	0.0000000	0.9881412	0.0500280	0.0494192	0.6079170	1.0000000	0.9997896
0.7281041	0.8404712	0.5948481	1.0000000	0.0000006	0.2743002	0.0494192	0.6079170	1.0000000	0.2318455
0.3765777	0.2928333	0.1398950	0.4301416	0.9999997	0.0000000	0.0494192	0.6079170	1.0000000	0.9572844
0.3879063	0.3122806	0.1476201	0.4421087	0.9903196	0.0434622	0.0000000	0.6079170	1.0000000	0.9423256
0.6457374	0.7595691	0.4465416	0.8061038	0.7180858	0.5424388	1.0000000	0.0000000	1.0000000	0.0525689
0.4153646	0.3612376	0.1679340	0.4723952	0.9664036	0.1031257	0.1193297	0.0925649	0.0000000	0.9975451
0.3952857	0.3250194	0.1528542	0.4501756	0.9838378	0.0619290	0.0494192	0.6079170	1.0000000	0.0000067
