"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.9693265	0.0679255	0.0042673	1.0328972	0.9124183	0.3727203	0.9843654	1.0205271	0.9774705	1.0499434
50	0.7685380	0.5866365	0.0053107	0.9510937	0.8651488	0.4411415	0.9553667	0.9804788	1.0691333	0.9550880
100	0.4924327	0.6739734	0.0060660	0.9617891	0.7829057	0.4170431	0.9420868	1.0226754	1.0062231	1.0522374
150	0.4006189	0.6710820	0.0049643	0.9630511	0.6860487	0.3008186	0.8585014	0.9504020	0.9468607	0.9933149
200	0.2967815	0.7711732	0.0134691	0.9323367	0.6812906	0.3338496	0.9152735	0.9516144	0.8815738	1.0389048
250	0.2150993	0.8204955	0.0107696	0.8535752	0.6555935	0.2261538	0.9194148	0.9713530	0.8696925	0.9930614
300	0.1991675	0.7766411	0.0107959	0.9866901	0.6808611	0.2333318	0.9614009	0.8404160	0.9598566	1.0032413
350	0.1836365	0.8553214	0.0101369	1.0141450	0.7369245	0.2343068	0.9612748	0.9948399	0.9838349	1.0161800
400	0.2024990	0.8832116	0.0012900	1.0168082	0.6755319	0.2180979	1.0097619	0.9591087	0.9267332	1.0113797
450	0.1899184	0.7505851	0.0106145	0.9661141	0.6965902	0.2262767	0.9709753	0.9633984	0.9324891	0.9394557
500	0.1909802	0.7997665	0.0056417	0.9653043	0.7705132	0.2328716	0.9180876	1.0364423	0.9579726	1.0108494
550	0.1979673	0.3387145	0.0075581	0.9837029	0.7204481	0.2587337	0.9147749	0.9889231	0.9407865	0.9816553
600	0.2453857	0.1594978	0.0068774	0.9233084	0.7767048	0.2369074	0.9572645	1.0897657	0.9403626	0.9948317
650	0.4670813	0.1290355	0.0117892	0.9663140	0.8205578	0.3131427	0.8453633	0.9943379	0.9133491	0.9708070
700	0.5811749	0.0959506	0.0094607	1.0170500	0.8394604	0.3604946	0.8311067	1.0312848	0.9485807	0.9888069
750	0.8266786	0.0751154	0.0065298	1.0690662	0.7789677	0.3696110	0.8793306	1.0139109	0.9559396	0.9254113
800	0.9324879	0.0776522	0.0003556	1.0728200	0.9488099	0.3162311	0.8347355	1.0187833	0.8427421	1.0665917
850	0.9207391	0.0641333	0.0015738	1.0273039	0.9452569	0.3841497	0.9299309	1.0184048	0.8223233	1.0904655
900	0.9256868	0.0730631	0.0081055	1.0734221	1.0291968	0.3852145	0.9846450	1.0174080	0.8914813	0.9993533
950	0.9842791	0.0565800	0.0075824	1.0878451	0.9068551	0.3549398	0.9288083	1.0457339	1.0080181	1.0357698
1000	0.9274421	0.0658490	0.0039025	1.0645091	0.9736657	0.3409689	0.9132882	0.9683813	0.9752076	0.9805332

0	0.9693265	0.0679255	0.0042673	1.0328972	0.9124183	0.3727203	0.9843654	1.0205271	0.9774705	1.0499434
50	0.6900040	0.6268408	0.0028466	1.1102861	0.9226666	0.3386749	0.9554574	0.5286463	0.9557239	0.8469480
100	0.4679203	0.8656415	0.0015734	1.0122691	0.8067129	0.3293612	0.9372229	0.5509159	0.9428346	0.6042016
150	0.2966467	0.9613355	0.0067528	0.9690795	0.8045261	0.3271326	0.9597220	0.6675243	0.9383489	0.5479454
200	0.2060407	0.9580665	0.0091127	0.9821900	0.7235656	0.3163923	0.9794550	0.6478933	0.9031225	0.5588371
250	0.1323447	0.9875934	0.0035950	1.0403857	0.6873890	0.3646517	0.9467433	0.5544141	0.9139602	0.5393027
300	0.1626376	1.0322918	0.0009138	0.9885689	0.7329018	0.2855104	0.9857510	0.5988708	0.8416150	0.5123863
350	0.1684015	0.9349851	0.0014068	0.9775909	0.7248132	0.2588298	0.8652421	0.6417930	1.0010755	0.5291677
400	0.1890049	1.0311716	0.0008194	1.0588295	0.7782699	0.2413551	0.9321446	0.6335785	0.9449636	0.5759089
450	0.1648015	0.9840396	0.0067196	0.9988852	0.7828278	0.2699185	0.9517189	0.5772595	0.9680271	0.5575446
500	0.1878595	0.9740767	0.0130724	1.0564753	0.7476385	0.3357637	0.9822733	0.5784722	0.9259037	0.5388566
550	0.1920615	0.3665132	0.0098906	1.0395892	0.6513059	0.2809701	0.8872864	0.9669464	0.9992293	0.8433652
600	0.3134549	0.1914261	0.0028277	0.9295653	0.8560631	0.2558299	1.0025526	1.0081147	0.9240171	0.9130171
650	0.4065096	0.1250678	0.0020085	0.9860613	0.8703867	0.3052781	0.9760389	0.9891764	0.9650241	0.9003115
700	0.5904622	0.1363977	0.0088230	0.9254674	0.9508841	0.2925483	0.9261660	0.9644077	0.9788937	0.9601914
750	0.7297153	0.1177407	0.0040662	0.9756446	0.8924262	0.3165309	0.9436147	0.8500621	0.9421123	0.9846742
800	0.7130351	0.0920318	0.0007410	0.9788167	0.8891447	0.3435990	0.9407462	1.0154731	0.9177315	1.0498908
850	0.8864745	0.0623141	0.0044538	0.9591290	0.9324095	0.3723684	0.9348391	1.0312017	0.9736733	1.0160348
900	0.8706420	0.0666572	0.0063668	0.9751865	0.9802662	0.3942865	0.9137163	1.0894884	1.0038717	0.9586165
950	0.8734921	0.0765440	0.0102557	0.9372652	0.9469821	0.4280318	0.8527073	0.9621179	0.9774149	1.0148563
1000	0.9295591	0.1036712	0.0124869	0.9281070	0.8912554	0.4140989	0.8646613	1.0661732	0.8599473	1.0088291

0	0.9693265	0.0679255	0.0042673	1.0328972	0.9124183	0.3727203	0.9843654	1.0205271	0.9774705	1.0499434
50	0.8494398	0.0910323	0.0041275	0.9788498	0.9032206	0.3264335	0.8483443	0.0837426	0.9740762	0.7194090
100	0.8313469	0.0974835	0.0074113	1.0019297	0.9063692	0.3463802	0.4768199	0.0742643	1.0522818	0.5368411
150	0.9021462	0.0928743	0.0087163	0.9055375	0.7672306	0.2752105	0.2136517	0.0408602	1.0278790	0.5409918
200	0.7489077	0.0808418	0.0106140	0.8743289	0.9884152	0.1371784	0.1129072	0.0853573	1.0402760	0.5119027
250	0.8785230	0.0761554	0.0070987	0.8830252	0.9637995	0.0594790	0.0831838	0.0790121	1.0260256	0.5461132
300	0.9767124	0.1058300	0.0011306	0.8811753	0.9277101	0.0531055	0.0875244	0.0636558	1.0072542	0.5016167
350	0.9727752	0.1120331	0.0134566	0.9040855	0.9377682	0.0545611	0.0740955	0.0611892	0.9678458	0.5131902
400	0.9788028	0.0869188	0.0077306	0.9235336	0.9913139	0.0452013	0.0520392	0.0667923	0.9720380	0.5205014
450	1.0034771	0.0613780	0.0051262	0.9428766	1.0097253	0.0501424	0.0443254	0.0866685	0.9523123	0.4726554
500	0.9379198	0.0824016	0.0042884	0.9510448	0.9481564	0.0299407	0.0303169	0.0723832	0.9401331	0.4780748
550	0.9785510	0.0985976	0.0046052	0.9540772	0.9376861	0.0177880	0.2145805	0.9908789	0.8881257	0.7719677
600	0.9282980	0.0904380	0.0162911	1.0596533	0.9671234	0.0324582	0.6340370	1.0131019	0.8434890	0.9132313
650	0.9608134	0.0739264	0.0158190	0.8972219	1.0241723	0.1674816	0.8098369	0.9985877	0.9073134	1.0850310
700	0.9862316	0.0827706	0.0015395	0.9633059	1.0829615	0.2996488	0.8773852	0.9905257	0.8539662	1.0929649
750	0.9689494	0.0730319	0.0101609	0.9148774	1.0725781	0.4260767	0.9489125	0.9823534	0.9117703	1.1068011
