"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W

0	0.9165632	0.4683964	0.5978050	0.0880270	0.2712635	0.8576286	0.2561771	0.3799531	0.1751886	0.9925013
50	0.9869891	0.6323953	0.6888278	0.8246972	0.2511143	0.8673764	0.2150547	0.4137285	0.1899998	1.0504479
100	1.0141469	0.6855267	0.6466399	0.9410773	0.2685127	0.8040577	0.1531195	0.6007115	0.1913986	0.9499367
150	0.9161394	0.4578625	0.6342921	0.9495805	0.2895023	0.8145667	0.1553486	0.8334546	0.1940452	0.9796083
200	0.9412484	0.4376848	0.7992445	1.0120620	0.3217137	0.7676785	0.1009242	0.8461636	0.1880947	1.0128985
250	0.9740984	0.3628675	0.7277629	0.9236674	0.2496423	0.7475646	0.0779500	0.9034710	0.1538434	0.9700094
300	0.8931087	0.3177450	0.5744184	0.9777988	0.2597999	0.5048106	0.0546653	0.8813854	0.1722302	0.9693102
350	0.7612295	0.1193242	0.6511898	0.9756937	0.3726894	0.5121736	0.0594114	0.9396092	0.1938518	0.8895770
400	0.3709655	0.0717724	0.8569477	1.0187410	0.4436685	0.4463074	0.0479960	0.9372725	0.1699125	0.8508903
450	0.2006191	0.0592748	0.8419221	1.1010480	0.3512635	0.4176388	0.0439048	0.9577981	0.1731761	0.9949781
500	0.1141388	0.0480649	0.7756546	0.9461413	0.2810355	0.3432917	0.0478483	0.9405847	0.1448198	1.0643578
550	0.0924449	0.0538278	0.7707292	0.2512226	0.2376148	0.2949949	0.0483136	0.8239657	0.1862128	1.0213045
600	0.0930637	0.0375911	0.8316069	0.1882963	0.3515783	0.3647795	0.0398413	0.6356547	0.1747927	1.0512625
650	0.0825638	0.0589207	0.8093996	0.2496034	0.4153347	0.3523962	0.0676633	0.4715484	0.1964899	0.9258793
700	0.0758141	0.0340081	0.9618582	0.4023095	0.5389967	0.4100288	0.1096765	0.4119502	0.2094158	0.9713381
750	0.0756667	0.0532784	0.9214280	0.2775785	0.4135131	0.3955979	0.1318905	0.4932559	0.2089709	1.0028240
800	0.0925736	0.0517512	0.8954811	0.2559845	0.3756261	0.4953477	0.1635189	0.4393896	0.1896381	0.9633539
850	0.1128630	0.0493415	0.8468268	0.1821983	0.3419928	0.6698252	0.1383665	0.3602300	0.2046131	0.9575310
900	0.0911489	0.0853366	0.7417759	0.1354294	0.2644111	0.6842481	0.1674148	0.3562187	0.2287304	0.9568195
950	0.1022252	0.1802867	0.4319001	0.0913639	0.2566852	0.7539529	0.2048930	0.3240096	0.2183967	1.0058074
1000	0.1314927	0.2200437	0.7435752	0.1774665	0.3887837	0.8193394	0.2542674	0.3562216	0.2170722	1.0024228

0	0.9165632	0.4683964	0.5978050	0.0880270	0.2712635	0.8576286	0.2561771	0.3799531	0.1751886	0.9925013
50	0.8983730	0.4398610	0.7497061	0.1679358	0.3692018	0.8589337	0.2254975	0.3879578	0.0798760	1.0236212
100	0.8542660	0.4256692	0.8164265	0.1687238	0.3146753	0.9594069	0.2329897	0.3674059	0.0210309	1.0508399
150	0.9623648	0.6089967	0.8363078	0.1784133	0.2207064	0.8190301	0.1661160	0.4390894	0.0078528	1.0735971
200	1.0927078	0.4655936	0.7066863	0.1487797	0.2039044	0.7599058	0.2605027	0.3785031	0.0005546	1.0624763
250	1.0248264	0.3599420	0.5341698	0.1056161	0.2935653	0.8716139	0.3271049	0.3742228	0.0009054	0.9572745
300	0.9307671	0.3669522	0.7099842	0.1653841	0.3575660	0.9438843	0.2939652	0.3723202	0.0005600	0.9354383
350	0.9247275	0.4743559	0.8106575	0.1724488	0.2528656	0.9333637	0.2585037	0.4069590	0.0001315	0.9747939
400	1.0011915	0.5229253	0.4596466	0.1318186	0.2279313	0.8976945	0.2224415	0.3815074	0.0000846	0.9553500
450	0.9621069	0.5066439	0.6744444	0.1252072	0.3790327	0.8581051	0.1987274	0.3815348	0.0042039	0.9919621
500	0.9461227	0.5217423	0.6768142	0.1774416	0.2558022	0.9022299	0.2151891	0.3717861	0.0006238	1.0772662
550	0.9973811	0.4611932	0.6536768	0.1333085	0.2735513	0.7950749	0.2705287	0.3158023	0.1317343	1.0431415
600	0.9258152	0.5066364	0.7072716	0.1195913	0.3060880	0.9127252	0.2497788	0.3906361	0.1483027	0.9374490
650	0.9258498	0.5959346	0.7919032	0.1568459	0.2678439	0.9151453	0.2439508	0.3528671	0.1767053	0.9675143
700	0.8911128	0.5881539	0.4521038	0.0666570	0.2818283	0.9195109	0.2299866	0.3285391	0.1715947	1.0225901
750	0.9546822	0.5476615	0.7483353	0.1520738	0.3001884	0.8200015	0.2202158	0.3231414	0.1296621	0.9914561
800	0.9672409	0.5511661	0.7924916	0.1966788	0.2672195	0.8143685	0.3199826	0.3757951	0.1600886	0.9954545
850	0.9602896	0.5545142	0.7918707	0.1443247	0.2507079	0.8391447	0.2680337	0.3013966	0.1884897	0.9599516
900	0.9645952	0.4868008	0.7251872	0.1343555	0.2838717	0.8870794	0.2799172	0.3498690	0.2193508	0.9215670
950	1.0314545	0.4034617	0.6310450	0.1457529	0.3663265	0.8847450	0.2847352	0.3534739	0.1878031	0.9839517
1000	1.0554461	0.5049332	0.8298634	0.1721528	0.2636458	0.8577304	0.3116485	0.3400562	0.2417600	1.1065348

0	0.9165632	0.4683964	0.5978050	0.0880270	0.2712635	0.8576286	0.2561771	0.3799531	0.1751886	0.9925013
50	0.8927369	0.7344545	0.9524917	0.4123556	0.1793380	0.8261934	0.2485226	0.2883217	0.2178075	0.7437127
100	0.9678256	0.7763489	0.9328705	0.4282999	0.1088380	0.8014417	0.2568760	0.2530085	0.2817370	0.7021366
150	0.9602544	0.7830344	0.9283957	0.4199164	0.1479675	0.7813406	0.2901334	0.3059668	0.2660567	0.6430016
200	0.9665126	0.7913100	0.9087750	0.3344758	0.1626491	0.8108014	0.2857946	0.2872805	0.3061815	0.5959050
250	1.0789183	0.8050513	0.8925982	0.3895545	0.1595623	0.7931986	0.2909773	0.3175161	0.3148004	0.5957146
300	1.0225649	0.8773924	0.9106137	0.4211105	0.1877370	0.7935528	0.2802437	0.3311187	0.3297040	0.6764327
