YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.5260755	0.6912512	0.3808114	0.6154257	0.5548821	0.5751910	0.8603944	0.0667925	0.4980264	0.6080396
0.9138960	0.3048472	0.2645908	0.8929177	0.3714779	0.7088729	0.7261630	0.0034572	0.2306865	0.4663590
0.9943920	0.5204026	0.1812759	0.7284839	0.4420230	0.6369081	0.7452615	0.0201109	0.4184699	0.5512638
0.9878866	0.3168562	0.8495111	0.4431991	0.6082456	0.5278395	0.9078482	0.0064545	0.2887773	0.6194116
0.9477940	0.4625854	0.3905864	0.6485410	0.2359362	0.5825505	0.8752042	0.0163066	0.3401456	0.5745657
1.0103223	0.5589025	0.1530334	0.9516144	0.9118392	0.4269664	0.6904317	0.0156435	0.4378926	0.7501163
0.9793871	0.5130079	0.3321044	0.6801523	0.2432487	0.9378259	0.4516163	0.0206957	0.3792717	0.4105629
0.9468318	0.3768281	0.3479350	0.6430036	0.3901601	0.6528595	0.7552166	0.0191800	0.3199860	0.5081492
1.0889053	0.4384910	0.2954729	0.8761731	0.4120474	0.6317538	0.6631621	0.0110667	0.1997541	0.5084959
0.9303676	0.3593741	0.4323110	0.6798297	0.4024550	0.6057460	0.8193372	0.0209868	0.4063621	0.2835918
