"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.8649753	0.0093597	0.0544154	0.6193083	0.7543962	0.7658053	0.0235398	0.7114375	0.0421849	0.7994260
50	0.7161980	0.0059249	0.0353708	0.6749138	0.7372742	0.6364327	0.0995008	0.6988693	0.0374300	0.4565451
100	0.7326648	0.0152907	0.0308694	0.5998959	0.8629342	0.5628653	0.1014761	0.6758611	0.0546440	0.2261735
150	0.8413391	0.0893623	0.0408901	0.6154757	0.7474963	0.6223012	0.1512036	0.7058421	0.1205499	0.1768272
200	0.6142332	0.0597282	0.0559891	0.6370849	0.7106858	0.5321063	0.2277515	0.6425594	0.3245316	0.1872647
250	0.8413544	0.1431917	0.0673259	0.5975506	0.7273709	0.6266465	0.3489370	0.5528033	0.4081916	0.1138482
300	0.8679539	0.0325623	0.0294798	0.5830655	0.6755042	0.6308936	0.4243427	0.5252765	0.5543205	0.1252989
350	0.7669282	0.0248189	0.0496559	0.6016675	0.6858752	0.5163880	0.5243331	0.5298902	0.5800039	0.1417177
400	0.6149661	0.0062011	0.0404880	0.6548625	0.7776589	0.4941516	0.5953010	0.3460097	0.5543042	0.1359322
450	0.7101186	0.0139246	0.0402049	0.5800863	0.5818395	0.4900997	0.6037200	0.4085102	0.5505848	0.1324155
500	0.7426510	0.0061842	0.0193683	0.5367907	0.6256427	0.3732052	0.5748991	0.2965486	0.5211257	0.1390908
550	0.7947360	0.0166167	0.0515964	0.6533971	0.6554474	0.4689732	0.5011275	0.3052657	0.4778302	0.5386842
600	0.7605738	0.0161778	0.0326925	0.6111150	0.6504158	0.5428462	0.4190716	0.3137680	0.1818081	0.5860034
650	0.6196370	0.0449807	0.0612086	0.6989261	0.6224264	0.4384755	0.3619058	0.4543449	0.0912379	0.7617288
700	0.7321398	0.0195846	0.0689527	0.6665322	0.7763796	0.6795340	0.1992726	0.5149136	0.0295794	0.6407878
750	0.7975227	0.0195254	0.0663709	0.5643225	0.6554235	0.7971603	0.1352517	0.6708658	0.0334970	0.7310322
800	0.6734228	0.0194868	0.0216164	0.6457244	0.7502266	0.8272385	0.0575512	0.5576560	0.0213474	0.8063233
850	0.6764709	0.0045669	0.0405670	0.6037672	0.7414843	0.7650937	0.0610650	0.7753208	0.0294631	0.7724132
900	0.7263546	0.0086458	0.0583797	0.8066816	0.5767143	0.8639165	0.0310471	0.7578503	0.0300406	0.6797474
950	0.7621516	0.0010492	0.0383937	0.5238332	0.5575095	0.7229649	0.0328534	0.7899661	0.0739621	0.7983838
1000	0.6644072	0.0012914	0.0354288	0.6928189	0.6557029	0.6418192	0.0167007	0.7877832	0.0515333	0.7607171

0	0.8239885	0.0068232	0.0464266	0.6055117	0.7178466	0.7010989	0.0375678	0.8033013	0.0371269	0.7029882
50	0.6683050	0.0230615	0.0152427	0.6126801	0.5616053	0.3732379	0.0413754	0.5722932	0.0179925	0.9592823
100	0.8509459	0.0419448	0.0260985	0.5712205	0.6294344	0.1476881	0.0253897	0.6553662	0.0047403	0.6616575
150	0.8036590	0.0722442	0.0234354	0.5161233	0.6138037	0.1290366	0.0243598	0.6553521	0.0224016	0.7079795
200	0.9180485	0.0381932	0.0515681	0.2777857	0.5751828	0.1246711	0.0213884	0.6375417	0.0087918	0.8601302
250	0.7440912	0.0101319	0.0313160	0.1926807	0.4828068	0.0799327	0.0222487	0.5785844	0.0290890	0.8181732
300	0.7689359	0.0037372	0.0865331	0.1841826	0.4797282	0.0923356	0.0346305	0.6746783	0.0065261	0.8450316
350	0.7236594	0.0000000	0.1266028	0.1731859	0.4151023	0.0868647	0.0306600	0.6441255	0.0042869	0.7118330
400	0.7449331	0.0035617	0.1870895	0.1136510	0.3500806	0.1075763	0.0169219	0.6079049	0.0021753	0.7561338
450	0.7803119	0.0007936	0.2217421	0.0902033	0.4394217	0.1564225	0.0137970	0.6865443	0.0053011	0.6929790
500	0.8185562	0.0045947	0.2571406	0.1246678	0.4289723	0.0763076	0.0204517	0.7357785	0.0089399	0.7675798
