YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.5188717	0.4511770	0.2626958	0.3597096	0.2567861	0.3531928	0.3858000	0.5662951	0.1603064
0.8529140	0.0000000	0.2627196	0.1950079	0.4919835	0.2065870	0.3400147	0.0121132	0.0467656	0.3452820
0.2154366	0.8930036	0.0000000	0.4749734	1.0830765	0.1010349	0.3262770	0.5590734	0.6019447	0.0606864
0.0679006	0.7389960	0.0330314	0.0000000	0.9774607	0.0288936	0.0142394	0.5582201	0.5394981	0.0379452
0.0362981	0.8501102	0.2824087	0.1218884	0.0000000	0.1597419	0.1971357	0.4852664	0.5720239	0.0631522
0.0934945	0.5185381	0.3469711	0.3372882	0.3841130	0.0000000	0.2661434	0.4992987	0.4820999	0.0351449
0.0908415	0.6289784	0.4544715	0.4466359	0.3436490	0.0812860	0.0000000	0.5086396	0.5089260	0.0314663
0.1010820	0.4869972	0.3201667	0.2539411	0.4277759	0.3056203	0.3927629	0.0000000	0.3845494	0.5684767
0.0732645	0.6142075	0.2611089	0.3245503	0.4867534	0.1820580	0.5000375	0.0122409	0.0000000	0.2276996
0.0896340	0.5872809	0.4222940	0.4251321	0.3632298	0.1393853	0.2968239	0.4536445	0.4538858	0.0000000
