"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	0.6621438	0.7084775	0.5565023	0.7153084	0.0132083	0.2380624	0.7543039	0.0706620	0.7816956	0.5502116
50	0.6866000	0.7610247	0.6186524	0.6578787	0.0066589	0.1798820	0.6092081	0.0363008	0.6808746	0.5767870
100	0.7745212	0.6914763	0.6912694	0.6697149	0.0172772	0.2532781	0.7065899	0.1304716	0.8187634	0.5712394
150	0.6332724	0.8336897	0.6582457	0.6677810	0.0227564	0.3061677	0.5438224	0.0929759	0.7272561	0.6221801
200	0.6239549	0.6850321	0.5984147	0.7217073	0.0177335	0.2250157	0.5780779	0.1016238	0.7058816	0.5698081
250	0.6339291	0.6858218	0.5204185	0.7735704	0.0096832	0.3222645	0.6341577	0.0546913	0.6554382	0.4831429
300	0.5768696	0.7250395	0.6194067	0.5725685	0.0167666	0.2789115	0.5580128	0.0884547	0.8313464	0.5508413
350	0.5680057	0.7864521	0.6592214	0.5814400	0.0124123	0.2176729	0.5224404	0.0862212	0.8403761	0.4734788
400	0.7342386	0.8102244	0.6798146	0.7925577	0.0066883	0.3216481	0.4651995	0.1056153	0.7578659	0.4908763
450	0.7073616	0.7471642	0.8210566	0.5906738	0.0231589	0.2827685	0.5159646	0.0763034	0.8107394	0.5611270
500	0.7019710	0.7683966	0.5081315	0.8316972	0.0228930	0.2303032	0.5881542	0.0934696	0.7909008	0.5528365
550	0.7155256	0.6322795	0.5822788	0.6770096	0.0169425	0.2836790	0.6893201	0.0873166	0.7270790	0.5013142
600	0.7222365	0.6354583	0.4647182	0.7902440	0.0019067	0.2442282	0.6122455	0.0841703	0.6490458	0.5893148
650	0.6692342	0.7219993	0.6460710	0.6128493	0.0081588	0.2887808	0.6729934	0.1137173	0.7142864	0.4866464
700	0.6974662	0.6823067	0.7282667	0.7728418	0.0050604	0.2830262	0.6007774	0.0820638	0.6738713	0.5286063
750	0.7414583	0.8509935	0.6341024	0.6037491	0.0225379	0.2288641	0.7648312	0.1033314	0.7013638	0.5260966
800	0.7322929	0.7353658	0.5686980	0.8604663	0.0082294	0.1640506	0.7248216	0.0953584	0.7424187	0.6467289
850	0.7196908	0.7484197	0.6509827	0.6988190	0.0228631	0.1784466	0.7026949	0.0477088	0.7258725	0.5080930
900	0.7749719	0.6158802	0.7065979	0.6879047	0.0226548	0.1856513	0.7139717	0.0989966	0.6580807	0.5305793
950	0.7845422	0.6995438	0.5179037	0.7399682	0.0081079	0.1966581	0.6401152	0.0748858	0.7712120	0.5552301
1000	0.5923360	0.6942145	0.4950233	0.7117377	0.0198991	0.2025883	0.7006617	0.1081088	0.6879878	0.5900328

