YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.1317803	0.6105815	0.6558697	0.6583648	0.7785419	0.2275115	0.3423029	0.2397790	0.1942335	0.2708278
0.8336422	1.0361142	0.9779687	1.0162582	0.1710643	0.6067240	0.4539213	0.5510361	0.7584818	0.9950598
0.2239949	0.3363091	0.5924164	0.5231854	1.0013541	0.0351835	0.1152278	0.0015571	0.0075485	0.0965302
0.4416833	0.7525398	0.9905010	0.6015893	1.0003628	0.1108021	0.0210722	0.0946468	0.0339894	0.2076229
0.0000893	0.0003430	0.1176487	0.5957767	0.9869483	0.1600335	0.1993597	0.2648327	0.0995550	0.2182436
0.2242220	0.7283306	0.8090045	0.6126961	0.8099480	0.2579345	0.0060701	0.0704305	0.2090435	0.4226899
0.4199251	0.7773395	0.9345212	0.6243443	0.9669851	0.0458807	0.1636051	0.3894935	0.0486649	0.2445592
0.5039977	0.7431650	0.8644492	0.5061224	0.8220605	0.1298246	0.1062917	0.3185035	0.1077776	0.2822828
0.4009292	0.8612012	0.8776136	0.5301739	0.9168061	0.0000165	0.0000094	0.0002247	0.0163319	0.2803074
0.3608902	0.6827382	0.8729991	0.8095057	0.4844371	0.1209043	0.2186081	0.5603903	0.5745468	0.6072651
