YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1999577	0.6660734	0.0447022	0.8982730	0.0851474	0.2974255	0.9875795	0.8804542	0.8166171	0.2230194
0.1731225	0.3330624	0.0447022	0.8982725	0.0851475	0.2974260	0.9875787	0.8804135	0.8165505	0.2230772
0.4008515	0.6676002	0.0223579	0.8982737	0.0851472	0.2974249	0.9875807	0.8805103	0.8167092	0.2229395
0.3979994	0.6627103	0.0448876	0.4269646	0.0994028	0.3516587	0.9774217	0.8830569	0.8229804	0.2190952
0.4100491	0.6821866	0.0447061	0.8982094	0.0425822	0.2975112	0.9873577	0.8670578	0.7885170	0.2426280
0.4023481	0.6701511	0.0446963	0.9804990	0.0710861	0.1476403	0.9879051	0.8771971	0.8091888	0.2278670
0.3463073	0.5848497	0.1204019	0.5901418	0.3104500	0.6264001	0.4922280	0.9087261	0.8899883	0.1797149
0.3998152	0.6658623	0.0450070	0.8933438	0.0864812	0.3040074	0.9711185	0.4402943	0.8170321	0.2228090
0.5739143	0.9792533	0.0518814	0.8109212	0.1182172	0.3988272	0.7807226	0.0705407	0.1990729	0.9656914
0.3501906	0.5907184	0.0446893	0.8984882	0.0850903	0.2971371	0.9883146	0.9278323	0.9566718	0.0743731
