"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.1948931	0.5811468	0.0446392	0.6827923	0.0752481	0.2040304	0.7328477	0.6153737	0.6227676	0.1824423
50	0.3107536	0.5511953	0.0069682	0.6392174	0.0799288	0.1025326	0.7067464	0.6566560	0.5487219	0.2830377
100	0.3523722	0.3575351	0.0062048	0.6368662	0.1245344	0.0510772	0.6082880	0.8093420	0.6199759	0.2219633
150	0.2901776	0.4908446	0.0103625	0.7242305	0.0477276	0.0369290	0.7133104	0.7415500	0.5451869	0.2072034
200	0.2626106	0.5276965	0.0260385	0.8159209	0.0395123	0.0629669	0.7032372	0.8244130	0.5748258	0.1402521
250	0.2429052	0.3781388	0.0060994	0.7128972	0.0869704	0.0210403	0.7669426	0.7882675	0.5015256	0.2225903
300	0.2662938	0.4474586	0.0115720	0.7299931	0.0945268	0.0207185	0.8255171	0.8115913	0.6859498	0.1539106
350	0.3527649	0.4114556	0.0014834	0.8564729	0.0451403	0.0144943	0.6092119	0.8789337	0.6337244	0.0919362
400	0.2549804	0.5190354	0.0014415	0.7560076	0.0827855	0.0213770	0.7925010	0.6697197	0.5562433	0.1343244
450	0.2081989	0.4684657	0.0004308	0.6705370	0.0751087	0.0231914	0.8354859	0.7564348	0.7586062	0.1204014
500	0.2369807	0.3901558	0.0000000	0.7645319	0.0624418	0.0195515	0.6236955	0.7609721	0.6904597	0.1263125
550	0.1940901	0.4919900	0.0173043	0.6949080	0.0623599	0.0936697	0.7398400	0.7066961	0.5969544	0.1190037
600	0.2436694	0.4922412	0.0570699	0.7593327	0.0593104	0.1844062	0.7520342	0.6544627	0.5695709	0.1769922
650	0.2958894	0.4025425	0.0144809	0.6484375	0.0624431	0.2004729	0.7615409	0.6110215	0.5872090	0.1728428
700	0.3172077	0.6776118	0.0067832	0.7722175	0.0844124	0.2422487	0.9059647	0.6830968	0.5434115	0.2462066
750	0.3607392	0.5168962	0.0433436	0.6871534	0.1020343	0.1812557	0.7484901	0.6896629	0.5517446	0.2104314
800	0.3763049	0.5569232	0.0219724	0.6737739	0.0754581	0.1819670	0.7397940	0.7784215	0.6410266	0.1731088
850	0.3474858	0.6891097	0.0332069	0.7326487	0.0585218	0.2260925	0.6059042	0.6816065	0.6465374	0.2010881
