YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0739683	0.9964622	0.0025912	0.7362679	0.6158030	0.8798325	0.8393413	0.9928508	0.6472134	0.5100094
0.0906729	0.7945191	0.0321138	0.9269840	0.6442643	0.8314021	0.7806152	1.0418266	0.6540123	1.0643379
0.1322552	0.6366873	0.0001898	0.8516837	0.7459431	0.9200137	0.8161008	1.0326454	0.8795367	1.0070837
0.0016147	0.8397875	0.0496012	0.9803564	0.8240942	0.7705700	0.8694594	0.9939281	0.8808484	0.9127083
0.1096456	0.9297702	0.0255557	0.9936004	1.0064752	0.8116155	0.9055524	1.0978550	0.7272213	0.9731643
0.0530430	1.0935266	0.0001943	0.9820972	0.8174278	0.8416062	0.8029830	1.0140894	0.7152910	1.0065140
0.0196775	0.6396446	0.0003116	1.0417986	0.7443579	0.8731569	0.7981341	1.0048042	0.8091773	1.0302870
0.0776440	0.9916717	0.0008746	0.9880728	0.8953474	0.6519888	0.4642947	0.7086093	0.7484573	1.1320469
0.0078465	0.9396721	0.0381318	0.8407788	0.6702361	0.8232084	0.8963575	0.9783469	0.7185585	0.7041957
0.1091672	1.0786185	0.0012223	0.9158318	0.8771111	0.6990441	0.7360724	0.7673185	0.7681041	1.0358066
