"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C

0	0.1488681	0.8484000	0.1495492	0.2936581	0.0607197	0.2944534	0.2460987	0.4793785	0.8198803	0.7883984
50	0.1310560	0.7859138	0.1844403	0.3430506	0.0866107	0.2694876	0.1539932	0.4656437	0.7441080	0.8109322
100	0.1811496	0.8350429	0.1713797	0.4224777	0.0548661	0.2842613	0.1998114	0.3667408	0.5762861	0.7673498
150	0.2510651	0.8083017	0.1016002	0.4184344	0.0449310	0.1272165	0.1995579	0.3205515	0.8043425	0.7965968
200	0.1588774	0.7157255	0.0976425	0.4736808	0.0504182	0.1698993	0.2246386	0.3516839	0.8176866	0.7907173
250	0.1474971	0.7705059	0.0685030	0.5430984	0.0315632	0.2126682	0.1652127	0.2787145	0.8104793	0.7302911
300	0.1923289	0.8932753	0.0529481	0.4549017	0.0244508	0.1752669	0.1699590	0.3643666	0.5474759	0.6893241
350	0.1319773	0.6895243	0.1008324	0.4701201	0.0382437	0.2159380	0.2140880	0.4101388	0.6419296	0.7078826
400	0.1693240	0.6991575	0.1002896	0.4965969	0.0468025	0.2071695	0.2523143	0.4908148	0.6379308	0.9271456
450	0.1375919	0.7556077	0.1350951	0.5130555	0.0649768	0.1565264	0.1765741	0.4282837	0.6130561	0.7412974
500	0.1325338	0.8312439	0.1314682	0.4423762	0.0527353	0.1719588	0.1744086	0.5706895	0.6063937	0.6365161
550	0.1380725	0.8672540	0.1249789	0.3438460	0.0433000	0.1758745	0.1745007	0.6789739	0.7697085	0.7411205
600	0.2132470	0.6472320	0.1277137	0.2902979	0.0165985	0.1626928	0.1868728	0.3938555	0.8593881	0.8359730
650	0.3136211	0.9169907	0.1110749	0.2701547	0.0418559	0.2321717	0.1802278	0.4527174	0.8168159	0.6996621
700	0.1155977	0.8397984	0.1885693	0.2063464	0.0232275	0.3544477	0.1722267	0.4215860	0.7554114	0.7188172
750	0.1656560	0.7426063	0.1462571	0.2695025	0.0181693	0.2308263	0.2041908	0.3363362	0.5885579	0.8500197
800	0.0980074	0.9197510	0.1370574	0.2503825	0.0642868	0.2833088	0.1784736	0.5292741	0.6429546	0.7212497
850	0.1276897	0.8114273	0.1841017	0.3068260	0.0356580	0.2782852	0.2052591	0.6262305	0.7012212	0.7917841
900	0.1479864	0.7189757	0.1447551	0.3252320	0.0365993	0.3051347	0.1926749	0.4386934	0.6650448	0.6359597
950	0.1261185	0.9016383	0.1559512	0.3449179	0.0543179	0.3370351	0.1831978	0.4240958	0.7245464	0.8119395
1000	0.1681742	0.6734646	0.1477682	0.2144747	0.0533565	0.2877115	0.1657882	0.4341498	0.7985276	0.8029876

0	0.1498027	0.7184746	0.1883739	0.3233984	0.0503499	0.2383494	0.2021704	0.4797300	0.7908087	0.9066622
50	0.0956129	0.7582866	0.2292942	0.2383690	0.0366376	0.1935461	0.1313146	0.3144236	0.7810655	0.8617609
100	0.1560976	0.6847474	0.3040505	0.2930479	0.0272610	0.0840215	0.2256200	0.1614247	0.6457664	0.8371350
150	0.1605009	0.6811308	0.2312931	0.1355097	0.0655837	0.0629340	0.2145554	0.1438830	0.5701850	0.7256614
200	0.1262731	0.6402304	0.2473782	0.1189449	0.0379804	0.0428879	0.2593256	0.1600535	0.6616399	0.7401850
250	0.2776612	0.7757422	0.4523316	0.0819815	0.0347323	0.0538391	0.3487427	0.0854305	0.8289974	0.8497342
300	0.1743133	0.8786131	0.4968122	0.0305981	0.0404311	0.0203748	0.3734227	0.0733638	0.6998259	0.9446184
350	0.1732163	0.6677366	0.6627032	0.0439543	0.0252640	0.0061525	0.4606526	0.0858685	0.7883810	0.7835265
400	0.1941558	0.7206682	0.6041181	0.0433044	0.0362925	0.0058307	0.5023803	0.0764907	0.7148952	0.6524904
450	0.1928468	0.6058780	0.5813662	0.0541040	0.0384786	0.0013291	0.5182447	0.1519327	0.7026770	0.6742884
500	0.1868994	0.7080962	0.7840317	0.0452206	0.0221413	0.0008039	0.3303697	0.0798787	0.8230808	0.8829681
550	0.1861402	0.8437966	0.7024331	0.0305164	0.0337644	0.0354366	0.5673671	0.2259366	0.6979122	0.8068366
600	0.1646271	0.7537541	0.7654842	0.0352940	0.0121501	0.1297452	0.2622534	0.4078943	0.7960033	0.6400006
650	0.1468859	0.7928705	0.7065873	0.0373739	0.0322450	0.1974544	0.1833569	0.4610697	0.6773106	0.7087330
