YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0000000	0.7319797	0.3693661	0.7215013	0.5013236	0.5813493	0.8530809	0.0414525	0.5409846	0.5439668
0.0244251	0.0000000	0.2435576	1.0558644	0.3029704	0.7750363	0.6604162	0.0035200	0.0580211	0.5099733
0.9979848	0.5453860	0.0000000	0.9891027	0.8996887	0.7237017	0.6509196	0.0661510	0.4454861	0.5850457
0.7586765	0.3035774	1.0423076	0.0000000	0.5987484	0.5348102	0.9764386	0.0192119	0.2590395	0.6037483
1.0050186	0.3952497	0.3975196	0.6797430	0.0000000	0.5965044	0.8161044	0.0262778	0.2780862	0.6526752
0.9461670	0.4781187	0.2739483	0.9789884	1.0224432	0.0000000	0.6811653	0.0214937	0.3221859	1.0075856
0.8904992	0.3601620	0.3809226	0.6929143	0.1481145	1.1256063	0.0000000	0.0199156	0.3264536	0.3988614
0.8934296	0.4482382	0.4021021	0.7079265	0.3171411	0.7628980	0.8485238	0.0000000	0.4037214	0.5291457
1.0526316	0.4656397	0.1721922	1.0292177	0.3929559	0.7310354	0.5761106	0.0036796	0.0000000	0.4759190
0.9909483	0.4774102	0.3810148	0.6762277	0.3561573	0.6819624	0.8701664	0.0191864	0.3593320	0.0000000
