YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.5860560	0.6669241	0.1607276	0.6640742	0.2181302	0.0678852	0.0508687	0.6984032	0.2619930	0.6820403
0.6009687	0.6422159	0.2829022	0.5272693	0.3537312	0.1871021	0.0889318	0.7496403	0.3047476	0.7272870
0.4064966	0.6322318	0.3286364	0.5996113	0.3855729	0.5349728	0.0733981	0.5950249	0.1065008	0.3284175
0.1599955	0.6943080	0.3645743	0.4002669	0.3171824	0.2763376	0.0931556	0.7820997	0.2718578	0.5148103
0.5019932	0.4733836	0.5035434	0.5724560	0.5735461	0.3942543	0.0443498	0.5950482	0.1886601	0.5617040
0.6994570	0.5863896	0.3849829	0.6921068	0.6205275	0.2784935	0.1056129	0.6117253	0.3603798	0.6043270
0.6430979	0.4732384	0.3778702	0.5142009	0.3972626	0.3694787	0.0675984	0.7475951	0.2990349	0.7757239
0.7131162	0.4260667	0.5208613	0.6618274	0.5274346	0.4385995	0.0936148	0.6899470	0.1554145	0.8726622
0.7870205	0.1820766	0.3870173	0.7829894	0.5303060	0.5565830	0.1171735	0.7667939	0.1716560	0.5058923
0.5468183	0.2102547	0.2351412	0.4699821	0.4658879	0.5859860	0.0635940	0.6416746	0.4009778	0.5797464
