YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.1806116	0.5175357	0.6003987	0.8222889	0.3915861	0.9808509	0.2796705	0.9948006	0.1340287	1.0975417
0.1723836	0.3114448	0.5556545	0.8095509	0.4151461	1.1219007	0.2391055	0.8685216	0.1128787	0.9108897
0.3480882	0.8902014	0.3018027	0.8493295	0.4241216	1.0501402	0.2740041	0.8203735	0.1168375	0.9678087
0.4422688	0.9274161	0.4166826	0.3781012	0.3959377	1.0701072	0.4233418	0.7386825	0.1118780	1.1223949
0.4775040	0.4980137	0.6730560	0.7982062	0.1716735	1.0495252	0.2317188	0.9944061	0.1108711	0.9938945
0.6345935	0.5506893	0.6211391	0.9568416	0.6289808	0.4820717	0.2102812	0.9920617	0.1042061	1.0308415
0.4502792	0.5802709	0.6757191	0.8369789	0.4491203	0.9901602	0.1815651	0.9117166	0.0921271	0.9686954
0.5228305	0.6305059	0.6084333	0.8172363	0.4640907	0.6270149	0.7857311	0.4207185	0.1061814	0.9801565
0.4715596	0.4446239	0.6629071	0.8026042	0.4109539	0.9349555	0.1783222	1.0436662	0.0687883	1.0548521
0.4844819	0.6406982	0.6786763	0.8815394	0.3635922	0.9045462	0.2666725	0.8849096	0.1122543	0.4814264
