YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000000	0.5901824	0.1036715	0.0538454	0.1146392	0.1919153	0.8219205	0.7413565	0.1420393	0.8626387
0.0966805	0.0000000	0.1066183	0.0717557	0.0931237	0.2017079	0.8649553	0.7068862	0.1418132	0.7659876
0.6939788	0.8042442	0.0000000	0.0928372	0.0765034	0.2124573	0.8085543	0.4554777	0.1615502	0.9653665
0.7509121	0.8025018	0.1203594	0.0000000	0.1369861	0.2560478	0.7073124	0.5255332	0.2121717	0.6881622
0.8788765	0.7430182	0.0161563	0.0328659	0.0000000	0.1987937	0.8348857	0.7485041	0.1563251	0.8384898
0.8568659	0.6867709	0.0484827	0.0490161	0.0655693	0.0000000	0.9389398	0.8144364	0.1940494	0.7303220
0.4866194	0.2947538	0.4036553	0.3186927	0.4498330	0.8272149	0.0000000	0.6796058	0.1423626	0.6337869
0.5428325	0.2753197	0.3766587	0.2911677	0.4716628	0.7195059	0.0161361	0.0000000	0.1588868	0.5976811
0.8554644	0.6536285	0.1186576	0.0500943	0.0787402	0.1972882	0.7728720	0.9037976	0.0000000	0.8229622
0.7219783	0.6599871	0.0134098	0.0316198	0.0939543	0.1941586	0.8803946	0.3458471	0.7463001	0.0000000
