YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.0000000	0.4439913	0.6508800	0.1029178	0.2012264	0.4368326	0.9264170	0.2748275	0.1343543	0.9905782
0.9999996	0.0000039	0.6508796	0.1029199	0.2012278	0.4368346	0.9264162	0.2748247	0.9680787	0.1946776
0.1819063	0.9999703	0.0000029	0.1029199	0.2012278	0.4368346	0.9264162	0.2748247	0.9992852	0.0557874
0.8535044	0.2677061	0.9999995	0.0000000	0.2012253	0.4368315	0.9264161	0.2748309	0.9429308	0.2335645
0.8487507	0.2712449	0.9895161	0.0227787	0.0000000	0.9100335	0.2323345	0.9999994	0.9419272	0.2350078
0.8417638	0.2763716	0.9747447	0.0321003	0.1190707	0.0000000	0.4778413	0.6720590	0.9405046	0.2371467
0.1821099	0.9989197	0.0213436	0.8797633	0.5645935	1.0000000	0.0000000	0.0845347	0.9959965	0.1014289
0.7054284	0.3665093	0.7725265	0.0816588	0.1861034	0.4032115	1.0000000	0.0000000	0.8934359	0.2882714
0.5856379	0.4439913	0.6508800	0.1029178	0.2012264	0.4368326	0.9264170	0.2748275	0.0000030	0.3512693
0.5857267	0.4439356	0.6509077	0.1029215	0.2012304	0.4368412	0.9264081	0.2748247	0.9999766	0.0000021
