YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.0000000	0.4826015	0.3024163	0.0832286	0.1647004	0.3267091	0.8046163	0.3140201	0.1821409	0.8754355
0.7911184	0.0000000	0.3142853	0.1529197	0.0930239	0.3796120	0.7568048	0.1495686	0.7836563	0.1446617
0.1951137	0.7563710	0.0000000	0.0768315	0.1656109	0.3267624	0.6885058	0.2739534	0.8353395	0.0283980
0.6768563	0.2372825	0.8889719	0.0000000	0.1376347	0.3183188	0.8481665	0.2394870	0.6673112	0.2358249
0.6859536	0.2158084	0.8285244	0.0163638	0.0000000	0.9811767	0.1409996	0.9142282	0.8413169	0.1650865
0.5795407	0.3148960	0.7261680	0.0365342	0.0922344	0.0000000	0.5203053	0.3901749	0.6845084	0.1716699
0.1301953	0.7468558	0.0301796	0.6909711	0.4249778	0.8645286	0.0000000	0.0764495	0.8306284	0.1101269
0.5691917	0.3023933	0.4213270	0.1323829	0.1434315	0.3567242	0.6622662	0.0000000	0.7277420	0.2379046
0.3542684	0.4750961	0.5914495	0.0705680	0.1096337	0.2595339	0.8472880	0.3608733	0.0000000	0.3966659
0.6331020	0.3360579	0.4305579	0.1082842	0.2386516	0.4005748	0.7333032	0.2304057	0.7636806	0.0000000
