"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1918508	0.2682102	0.3128027	0.7457938	0.3739582	0.6977982	0.6816188	0.2654623	0.1525522	0.6278982
50	0.2071739	0.2742484	0.3742918	0.6179945	0.3507593	0.8209020	0.6217146	0.2516360	0.1293003	0.7996586
100	0.1293100	0.2220447	0.2984714	0.6803185	0.3842177	0.6952039	0.7156860	0.1720055	0.0540864	0.7643129
150	0.1758562	0.3106920	0.4427154	0.5425324	0.3374231	0.5856864	0.4222867	0.0421841	0.0450671	0.7475952
200	0.1722575	0.2949124	0.5762545	0.4206216	0.3245883	0.3567481	0.2260763	0.0259221	0.0114782	0.7015069
250	0.1640978	0.3386411	0.4668275	0.4220292	0.2150082	0.1325190	0.1031629	0.0239216	0.0039269	0.8447601
300	0.1395662	0.2422958	0.5241830	0.5376218	0.1640401	0.0648448	0.0627006	0.0038006	0.0028049	0.7343758
350	0.1059254	0.2844437	0.5903944	0.4738766	0.0909196	0.0140501	0.0709975	0.0067846	0.0109202	0.8330286
400	0.1875463	0.2373287	0.4608939	0.4464093	0.0194589	0.0021901	0.0396797	0.0036426	0.0007648	0.6939909
450	0.1717080	0.1974910	0.6383028	0.3911215	0.0204892	0.0088483	0.0549751	0.0009376	0.0025168	0.8221692
500	0.1659148	0.2673501	0.6891671	0.5899193	0.0184853	0.0031541	0.0126546	0.0064151	0.0068049	0.6567337
550	0.1292306	0.2615987	0.5094680	0.5136011	0.0306292	0.0020923	0.0173569	0.0032027	0.0320065	0.6421764
600	0.1444939	0.2757310	0.6496071	0.5462432	0.0301074	0.0004497	0.0284048	0.0051366	0.0613352	0.6226048
650	0.1860048	0.1990947	0.4901573	0.5787368	0.0252624	0.0046435	0.0138570	0.0766066	0.1604532	0.7157265
700	0.2246829	0.2864358	0.3922488	0.6536128	0.0341575	0.0580668	0.1103257	0.1300123	0.1579730	0.6941264
750	0.1615314	0.4421269	0.4196548	0.8894717	0.0503616	0.3330372	0.4043860	0.2721108	0.2222108	0.6550232
800	0.1130756	0.3028709	0.4717517	0.7105338	0.2133991	0.6726881	0.6332298	0.4005577	0.2229423	0.7336278
850	0.1529727	0.3159455	0.4173076	0.6674423	0.2417131	0.8142915	0.7217959	0.4380739	0.2108582	0.8691113
900	0.2136851	0.2821681	0.4317978	0.7192351	0.3772927	0.7613332	0.7028751	0.4195591	0.1384581	0.7389386
950	0.1561755	0.2605965	0.4228935	0.7718348	0.2841883	0.5762016	0.6857621	0.3648357	0.1606863	0.7630834
1000	0.1481046	0.2963440	0.3206461	0.6912270	0.3744537	0.6862989	0.6909502	0.3727271	0.1124790	0.7427281

0	0.1134552	0.2850163	0.3012302	0.7323222	0.3971487	0.7225239	0.7605055	0.3494296	0.1178181	0.7065528
50	0.1177985	0.2618255	0.3328681	0.6511164	0.3633651	0.7349862	0.7438028	0.3978946	0.1701145	0.7357311
100	0.1779110	0.1120716	0.3258049	0.5168859	0.4377316	0.7282359	0.6693079	0.2908162	0.1424671	0.6679118
150	0.2141309	0.1339666	0.3868201	0.5253436	0.3836473	0.7478247	0.8846467	0.1545613	0.1056172	0.7715378
200	0.1779824	0.1464927	0.4201314	0.3757594	0.3895620	0.6786133	0.5270691	0.1013774	0.1607762	0.6992378
250	0.1584420	0.1226015	0.4608648	0.4076048	0.3189314	0.5978853	0.4689922	0.0622118	0.2233596	0.7821906
300	0.1456607	0.1490531	0.6830937	0.5384158	0.3506457	0.6136444	0.3006417	0.1304106	0.2331785	0.6669632
350	0.1706236	0.1238115	0.6241422	0.4664983	0.3039241	0.6032358	0.4513691	0.1713218	0.1817657	0.8246056
400	0.1546169	0.1283838	0.5381747	0.4889473	0.2727695	0.6500210	0.6358971	0.1368167	0.1778902	0.8402750
450	0.1666024	0.1254803	0.4903736	0.5361381	0.3701488	0.6163887	0.4818160	0.0838393	0.1689396	0.7529398
500	0.1214813	0.1580951	0.5004098	0.4413318	0.4137584	0.5169190	0.3527657	0.0916561	0.1653284	0.7062185
550	0.1366461	0.2112615	0.4840084	0.4646042	0.2925280	0.4784502	0.2978858	0.0589946	0.1355909	0.8232116
600	0.1180398	0.2076074	0.4788743	0.6551748	0.2794052	0.2948462	0.1331311	0.1142963	0.1144554	0.8700300
650	0.1333696	0.2491015	0.5015135	0.7314471	0.2066331	0.2973608	0.2685740	0.2173188	0.1052194	0.8015879
700	0.1117420	0.2990614	0.4494438	0.7652537	0.2628376	0.5127357	0.4223596	0.2045308	0.1684437	0.8410232
750	0.1566320	0.2829872	0.3266961	0.9926360	0.2461019	0.5639326	0.4319282	0.3359772	0.1752985	0.6413738
800	0.1639898	0.3402225	0.3725700	0.6994302	0.2996222	0.7188688	0.5628870	0.3434382	0.0834384	0.8287244
850	0.1979692	0.3287296	0.3462802	0.6999849	0.3869152	0.6850060	0.6733524	0.2534402	0.1113548	0.6914396
900	0.2432967	0.3715583	0.3403909	0.7898080	0.3356731	0.5783524	0.7505704	0.2437939	0.0979933	0.6875309
950	0.2327506	0.2795283	0.3474973	0.7870029	0.3882427	0.8420567	0.7133761	0.2338160	0.1347697	0.7483033
1000	0.1922810	0.3438493	0.3275481	0.8797941	0.3962697	0.6991174	0.7055741	0.3263223	0.1563592	0.7228142

0	0.1574129	0.2333171	0.2844193	0.7616093	0.3802979	0.7291998	0.7818543	0.3362761	0.1053835	0.7074393
50	0.1634691	0.3280760	0.4118610	0.7583675	0.4105404	0.6319000	0.7396303	0.3762910	0.1116859	0.7449167
100	0.2532905	0.2981141	0.2861983	0.7670494	0.4842574	0.8578334	0.6834815	0.1703471	0.0572681	0.7269590
150	0.2386532	0.1805202	0.3491383	0.6888800	0.4854903	0.7471128	0.5486923	0.0632070	0.0250996	0.6682393
