"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W

0	0.7451620	0.1357188	0.0828384	0.7684428	0.2998502	0.3487371	0.2978509	0.0326157	0.4348001	0.2800487
50	0.6644505	0.1803851	0.0722432	0.9142517	0.3157778	0.2241513	0.1213596	0.0266427	0.4725587	0.2541816
100	0.6113883	0.2742182	0.0347246	0.7376660	0.2266134	0.2259205	0.1203760	0.0027826	0.4208667	0.1864926
150	0.4675109	0.3567641	0.0882761	0.6806032	0.1869809	0.2150671	0.0879385	0.0021207	0.5340954	0.1246268
200	0.6349094	0.3236156	0.1011105	0.7766733	0.1289140	0.2002217	0.1257605	0.0008401	0.5730321	0.1393875
250	0.4558862	0.3401479	0.1323142	0.8033615	0.1669676	0.2104324	0.1947548	0.0000230	0.7833610	0.1190310
300	0.4539151	0.3513630	0.1193310	0.8398515	0.2017321	0.1881741	0.1770029	0.0020227	0.6629965	0.1797302
350	0.4207668	0.3254323	0.0701856	0.7934693	0.2765569	0.2234069	0.1588882	0.0003645	0.7279673	0.1508169
400	0.4324646	0.3856622	0.1459868	0.7561378	0.2038704	0.2272256	0.1477084	0.0019699	0.5272674	0.1859973
450	0.3953335	0.3454918	0.2549550	0.6735543	0.2004273	0.1638742	0.1337044	0.0015058	0.6389078	0.1652991
500	0.4283883	0.4322066	0.1652073	0.9257465	0.1959454	0.1619413	0.0945309	0.0030195	0.6399959	0.1223766
550	0.3202512	0.4495999	0.1368017	0.9038205	0.2712555	0.3662575	0.6410184	0.0263867	0.6467739	0.1713107
600	0.4098271	0.4070870	0.0569688	0.7475161	0.3401427	0.4499015	0.5375288	0.0357816	0.5687151	0.1594769
650	0.3539487	0.2743853	0.0823359	0.7597001	0.3997075	0.3158305	0.3180830	0.0099600	0.6021438	0.1767867
700	0.5435471	0.1273134	0.0804683	0.8585888	0.4145111	0.4209899	0.2975783	0.0190157	0.5959566	0.1234999
750	0.5854764	0.1065936	0.0848256	0.8110732	0.2573596	0.3956659	0.2320766	0.0363526	0.6450667	0.1780179
800	0.5819308	0.0819537	0.1250586	0.7901804	0.3771008	0.3948253	0.3296882	0.0406173	0.6501356	0.2159762
850	0.6723129	0.1339585	0.0976404	0.7597950	0.3337826	0.3854432	0.4217682	0.0215488	0.6471124	0.2612171
900	0.6528403	0.2079397	0.1077305	0.6988676	0.4268757	0.4866920	0.2681082	0.0137270	0.6238122	0.1705440
950	0.5646782	0.3158217	0.0915215	0.8025776	0.4116157	0.4475978	0.2987560	0.0363416	0.5639366	0.2665049
1000	0.4443229	0.2698310	0.0784492	0.8035669	0.3143712	0.3487968	0.3084243	0.0615288	0.4335248	0.3077779

0	0.6929167	0.1682852	0.1146167	0.8482577	0.3524345	0.4582544	0.3996056	0.0218919	0.5054405	0.2863199
50	0.8626085	0.1419745	0.0992173	0.2827015	0.3927501	0.2851041	0.3232948	0.0131263	0.3772243	0.2776807
100	0.5276733	0.2529969	0.2302978	0.1693199	0.3032653	0.1841918	0.2428504	0.0229280	0.4917915	0.2137889
150	0.5847998	0.4630127	0.2336989	0.1062485	0.2764818	0.2886638	0.2557891	0.0147506	0.6625129	0.1726570
200	0.2904489	0.6081295	0.3900912	0.0509874	0.2303819	0.1895223	0.3740085	0.0161581	0.5602804	0.1505626
250	0.2896260	0.8785904	0.3785692	0.0549223	0.3438254	0.1881033	0.4358226	0.0124201	0.6927642	0.0899798
300	0.2442719	0.8542171	0.4375947	0.0326030	0.4468921	0.1440569	0.3762064	0.0165130	0.7433928	0.0776234
350	0.1569734	0.7759702	0.3315751	0.0284829	0.3758537	0.1244987	0.2266855	0.0378028	0.7838062	0.0669429
400	0.1649785	0.6711926	0.3763642	0.0802228	0.2724383	0.2125241	0.3261366	0.0187756	0.6395209	0.0764968
450	0.2624115	0.6240251	0.2903355	0.0369270	0.2836167	0.1547189	0.3139203	0.0251031	0.6573973	0.1161221
500	0.2455695	0.6201106	0.4554497	0.0594941	0.3452013	0.1334408	0.2695260	0.0370061	0.7164546	0.1185657
550	0.2910996	0.7144888	0.3301450	0.5066341	0.4380046	0.3531952	0.2033797	0.0099978	0.5870919	0.1161629
600	0.2257233	0.6885119	0.2561560	0.7201307	0.3365956	0.3711156	0.3358105	0.0154021	0.7199486	0.1435328
650	0.2980817	0.5782437	0.1612385	0.7175098	0.3385158	0.3396446	0.2989305	0.0275718	0.6827509	0.2597957
700	0.2222665	0.7255126	0.0889866	0.6229547	0.2873928	0.4231226	0.3650630	0.0364540	0.5533408	0.2711479
750	0.2598122	0.4182526	0.0874397	0.7848908	0.3596402	0.3871436	0.2798425	0.0143955	0.4741386	0.2056728
800	0.2220603	0.2910473	0.1053724	0.7116185	0.3519599	0.4492206	0.3827443	0.0119757	0.6082120	0.2849923
850	0.3617131	0.2037253	0.1107404	0.6649835	0.4852577	0.4246992	0.3781193	0.0231207	0.4853028	0.2322664
900	0.3984596	0.2418600	0.0923039	0.8475388	0.3311662	0.5559355	0.2807799	0.0280070	0.3873773	0.1254078
950	0.4947848	0.1737093	0.0739107	0.6867319	0.3554492	0.3743696	0.3110460	0.0360331	0.5508770	0.2059794
1000	0.5617857	0.1882324	0.1166956	0.7755224	0.4428439	0.2901183	0.4680188	0.0573412	0.4770235	0.1860131

0	0.6372911	0.1243779	0.0655231	0.7078310	0.3283716	0.4433426	0.3608462	0.0308304	0.3801924	0.2643215
50	0.6692174	0.0662954	0.1541971	0.4173147	0.3405041	0.3770390	0.4608081	0.0378057	0.4065023	0.3731416
100	0.7676631	0.1439560	0.2186661	0.4333850	0.3820009	0.3940424	0.4418706	0.0100556	0.4523863	0.2682049
150	0.6062594	0.4057894	0.1516706	0.5255795	0.4140831	0.3558905	0.2434604	0.0195878	0.2668915	0.3235356
200	0.3723328	0.5548884	0.2404330	0.4145946	0.3776826	0.4626387	0.1969646	0.0144304	0.3545662	0.3649134
250	0.3037089	0.6831758	0.3094042	0.4379032	0.2731086	0.4394575	0.4276511	0.0234676	0.4555878	0.3257346
300	0.2676844	0.6148777	0.2309189	0.5061539	0.3411958	0.4049733	0.3032675	0.0202260	0.2708642	0.3511033
350	0.2820372	0.6697043	0.1971299	0.4314701	0.3703751	0.4865886	0.3917800	0.0118592	0.3279100	0.2910357
400	0.3129400	0.5825168	0.2618743	0.5798533	0.4400264	0.3936323	0.4460183	0.0278129	0.3761210	0.2841918
450	0.2282010	0.6416056	0.2713122	0.5365675	0.3014455	0.5281206	0.3618188	0.0177308	0.3545333	0.3360479
500	0.2342896	0.6639923	0.2531457	0.4503835	0.3353329	0.4580714	0.2842831	0.0243952	0.4505219	0.2248671
550	0.2285626	0.5378477	0.1880946	0.6762974	0.2854192	0.5432912	0.3268883	0.0423172	0.4946474	0.2155750
600	0.3102857	0.5296551	0.2382255	0.7495652	0.4522423	0.4038681	0.5227790	0.0344291	0.5386366	0.2444707
650	0.3384752	0.4101582	0.1181304	0.7167761	0.5111529	0.3682093	0.2959370	0.0271454	0.5483700	0.2850375
700	0.3176510	0.4253547	0.1096788	0.7742499	0.3799354	0.3934678	0.3048194	0.0262135	0.4071269	0.3051810
750	0.3571797	0.2440660	0.1168835	0.8366870	0.3083112	0.4434479	0.3236533	0.0216715	0.4455210	0.2218992
800	0.3771152	0.2514410	0.0777129	0.7818192	0.4030311	0.5114905	0.3854153	0.0180357	0.4411860	0.2433376
850	0.4755772	0.1720649	0.0654008	0.7579941	0.3219753	0.3812272	0.3585835	0.0079430	0.4633423	0.3433494
900	0.5342693	0.0909529	0.0534494	0.8350939	0.3720815	0.4868342	0.3598136	0.0213496	0.3739303	0.2649839
950	0.5865520	0.0872678	0.0812272	0.6998591	0.3448602	0.3934718	0.3836948	0.0267065	0.5134831	0.2586845
