YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0000002	0.3663295	0.4805997	0.6332312	0.8534241	0.1210860	0.2988881	0.0649245	0.0650262	1.0000000
0.5460520	0.0000000	0.0382341	0.1760294	0.8534241	0.1210860	0.0425313	0.0649245	0.0650262	1.0000000
0.2421107	0.9999987	0.0000005	0.4262028	0.8534241	0.1210860	0.0109821	0.0649245	0.0650262	1.0000000
0.2439175	0.9876039	0.0334008	0.0000013	0.8534241	0.1210860	0.0385872	0.0649245	0.0650262	1.0000000
0.3862590	0.3809642	0.4638871	0.6224655	0.0000000	0.1210860	0.2922091	0.0649245	0.0650262	1.0000000
0.0694673	0.3801098	0.4651149	0.6231437	1.0000000	0.0000001	0.2925792	0.0649245	0.0650262	1.0000000
0.2661153	0.8483075	0.1396096	0.3905207	0.8534241	0.1210860	0.0000012	0.0649245	0.0650262	1.0000000
0.2163860	0.6952545	0.2263213	0.4650365	0.9415558	0.0590975	0.2030509	0.0000000	0.0650262	1.0000000
0.2655379	0.8474283	0.1402702	0.3913045	0.8546215	0.1202404	0.1191727	0.0643942	0.0000031	1.0000000
0.3895704	0.9222314	0.0929567	0.3336873	0.2713206	0.8462647	0.0210126	0.6854834	1.0000000	0.0000000
