YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0114891	0.0808982	0.0485388	0.7051704	0.4656449	0.9348423	1.0288176	1.0783814	0.0433007	0.1062656
0.0181526	0.0544045	0.0348176	0.7406273	0.7177233	0.9965284	1.0127093	1.0223505	0.0521952	0.0998869
0.0628117	0.0690252	0.0305013	0.6992659	0.6842224	0.9010768	1.0615073	0.9575824	0.0576374	0.1178876
0.1204810	0.2186314	0.3011960	0.3447302	0.6373763	0.9724630	0.9918634	1.0954663	0.0929371	0.1160509
0.0272156	0.0950729	0.0256933	0.7821618	0.2811510	1.0080081	0.9981979	1.0390554	0.0547325	0.0972638
0.0396133	0.0758356	0.0138260	1.0462781	0.0353505	0.4576234	1.0421176	1.1142510	0.0658263	0.1042136
0.0370780	0.0937324	0.0374914	0.9376961	0.0529155	0.5880439	0.4468587	1.0274726	0.0572973	0.1381336
0.0417889	0.0498332	0.0541284	0.6419041	0.3914101	0.8696462	0.9733297	0.5218801	0.0474558	0.0915792
0.0299884	0.1057607	0.0476516	0.6697353	0.4678382	0.9350961	0.9787378	0.9359092	0.0202261	0.1070803
0.0449583	0.0771298	0.0512241	0.7049415	0.4807780	0.9653083	1.0531554	1.0629279	0.0389454	0.0638968
